run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1_L768,768,2048,0.0000,0.0000,325.7300,1665974.5068,1.2287,1.2287,1666300.2368,693.6111,1648.5996,88220.0000,192352.0000
2,tau,no_cache,p1_L768,768,2048,0.0000,0.0000,316.2900,1815462.4602,1.1275,1.1275,1815778.7502,775.4538,1760.8278,192360.0000,239236.0000
3,nano,kv_cache,p1_L768,768,2048,13022.1053,0.0000,22.9863,71671.8107,28.5607,28.5607,84716.9023,35.0121,49.7160,239236.0000,295988.0000
4,tau,kv_cache,p1_L768,768,2048,10737.4466,0.0000,14.2408,42492.4789,48.1732,48.1732,53244.1663,20.0133,26.1651,215552.0000,265992.0000
5,nano,no_cache,p2_L768,768,2048,0.0000,0.0000,194.0400,1614616.4480,1.2678,1.2678,1614810.4880,674.7843,1642.2204,265992.0000,243064.0000
6,tau,no_cache,p2_L768,768,2048,0.0000,0.0000,247.4927,1818842.7454,1.1254,1.1254,1819090.2381,776.8365,1751.3609,243064.0000,246448.0000
7,nano,kv_cache,p2_L768,768,2048,12285.3618,0.0000,18.6884,71485.6463,28.6351,28.6351,83789.6965,35.6192,48.6692,246448.0000,302912.0000
8,tau,kv_cache,p2_L768,768,2048,10802.1982,0.0000,16.2445,42645.0659,48.0009,48.0009,53463.5086,20.5723,26.1180,223156.0000,269272.0000
9,nano,no_cache,p3_L768,768,2048,0.0000,0.0000,199.7317,1616346.2839,1.2664,1.2664,1616546.0156,669.1705,1640.7480,269280.0000,246456.0000
10,tau,no_cache,p3_L768,768,2048,0.0000,0.0000,291.8040,1820982.9806,1.1241,1.1241,1821274.7846,773.9405,1756.7500,246464.0000,246464.0000
11,nano,kv_cache,p3_L768,768,2048,11911.5338,0.0000,19.7150,70328.5071,29.1063,29.1063,82259.7558,34.5169,48.6565,246464.0000,303100.0000
12,tau,kv_cache,p3_L768,768,2048,10189.8991,0.0000,15.1889,41722.5373,49.0622,49.0622,51927.6253,20.1860,25.4100,218952.0000,269452.0000
13,nano,no_cache,p1_L1152,1152,2048,0.0000,0.0000,331.3443,2301215.4498,0.8895,0.8895,2301546.7941,1001.7261,2179.3646,269452.0000,263380.0000
14,tau,no_cache,p1_L1152,1152,2048,0.0000,0.0000,421.6546,2516407.7327,0.8135,0.8135,2516829.3874,1121.3519,2308.2518,263380.0000,263384.0000
15,nano,kv_cache,p1_L1152,1152,2048,20974.2379,0.0000,24.8643,83592.7152,24.4878,24.4878,104591.8174,41.5620,53.7504,263384.0000,322824.0000
16,tau,kv_cache,p1_L1152,1152,2048,17051.8884,0.0000,17.8902,46173.9235,44.3324,44.3324,63243.7021,22.6199,27.8913,229128.0000,288492.0000
17,nano,no_cache,p2_L1152,1152,2048,0.0000,0.0000,339.5809,2290168.1316,0.8938,0.8938,2290507.7125,998.0316,2182.6993,288492.0000,265752.0000
18,tau,no_cache,p2_L1152,1152,2048,0.0000,0.0000,418.7446,2513905.2836,0.8143,0.8143,2514324.0282,1107.7198,2302.6056,265752.0000,265756.0000
19,nano,kv_cache,p2_L1152,1152,2048,22090.8743,0.0000,26.3216,82775.7192,24.7295,24.7295,104892.9151,38.8529,55.2330,265760.0000,327144.0000
20,tau,kv_cache,p2_L1152,1152,2048,17485.0123,0.0000,18.3862,45790.3975,44.7037,44.7037,63293.7959,22.0979,28.0741,231504.0000,290996.0000
21,nano,no_cache,p3_L1152,1152,2048,0.0000,0.0000,351.0940,2290828.3903,0.8936,0.8936,2291179.4844,1001.9335,2186.1858,290996.0000,268128.0000
22,tau,no_cache,p3_L1152,1152,2048,0.0000,0.0000,409.3202,2510188.4767,0.8155,0.8155,2510597.7969,1119.2980,2307.9132,268128.0000,268128.0000
23,nano,kv_cache,p3_L1152,1152,2048,21182.1493,0.0000,26.6565,83936.4370,24.3875,24.3875,105145.2428,41.1297,55.0370,268128.0000,326668.0000
24,tau,kv_cache,p3_L1152,1152,2048,17976.4735,0.0000,17.1885,47277.3601,43.2977,43.2977,65271.0221,23.0677,28.4068,248268.0000,290724.0000
