run_id,engine,mode,prompt_id,embd_mult,token_index,token_ms
1,nano,no_cache,p1_L768,3,0,1765.713826
1,nano,no_cache,p1_L768,3,1,1169.758671
1,nano,no_cache,p1_L768,3,2,1308.551730
1,nano,no_cache,p1_L768,3,3,1134.882375
1,nano,no_cache,p1_L768,3,4,1136.829516
1,nano,no_cache,p1_L768,3,5,1187.441899
1,nano,no_cache,p1_L768,3,6,1191.094422
1,nano,no_cache,p1_L768,3,7,1157.233490
1,nano,no_cache,p1_L768,3,8,1098.046288
1,nano,no_cache,p1_L768,3,9,1163.137729
1,nano,no_cache,p1_L768,3,10,1238.839219
1,nano,no_cache,p1_L768,3,11,1144.684897
1,nano,no_cache,p1_L768,3,12,1102.081106
1,nano,no_cache,p1_L768,3,13,1100.421685
1,nano,no_cache,p1_L768,3,14,1145.913653
1,nano,no_cache,p1_L768,3,15,1203.661412
1,nano,no_cache,p1_L768,3,16,1189.457354
1,nano,no_cache,p1_L768,3,17,1274.711697
1,nano,no_cache,p1_L768,3,18,1187.104513
1,nano,no_cache,p1_L768,3,19,1210.472700
1,nano,no_cache,p1_L768,3,20,1153.720246
1,nano,no_cache,p1_L768,3,21,1246.475284
1,nano,no_cache,p1_L768,3,22,1288.070603
1,nano,no_cache,p1_L768,3,23,1162.733054
1,nano,no_cache,p1_L768,3,24,1088.261416
1,nano,no_cache,p1_L768,3,25,1197.503109
1,nano,no_cache,p1_L768,3,26,1110.668203
1,nano,no_cache,p1_L768,3,27,1103.607851
1,nano,no_cache,p1_L768,3,28,1092.796135
1,nano,no_cache,p1_L768,3,29,1152.624401
1,nano,no_cache,p1_L768,3,30,1135.811141
1,nano,no_cache,p1_L768,3,31,1161.776838
1,nano,no_cache,p1_L768,3,32,1139.194348
1,nano,no_cache,p1_L768,3,33,1240.212978
1,nano,no_cache,p1_L768,3,34,1144.757407
1,nano,no_cache,p1_L768,3,35,1123.593742
1,nano,no_cache,p1_L768,3,36,1163.087121
1,nano,no_cache,p1_L768,3,37,1327.150432
1,nano,no_cache,p1_L768,3,38,1188.859127
1,nano,no_cache,p1_L768,3,39,1227.955102
1,nano,no_cache,p1_L768,3,40,1198.684747
1,nano,no_cache,p1_L768,3,41,1112.896386
1,nano,no_cache,p1_L768,3,42,1173.891426
1,nano,no_cache,p1_L768,3,43,1188.604639
