run_id,engine,mode,prompt_id,prompt_len,gen_tokens,embd_mult,n_embd,n_head,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1_L768,768,512,3,1152,3,0.0000,0.0000,1765.7138,841850.3220,0.6070,0.6070,843616.0359,1647.7928,2156.4841,54084.0000,476680.0000
2,tau,no_cache,p1_L768,768,512,3,1152,3,0.0000,0.0000,1543.8843,827959.3660,0.6172,0.6172,829503.2503,1526.3033,2143.5453,476684.0000,818856.0000
3,nano,kv_cache,p1_L768,768,512,3,1152,3,111418.0166,0.0000,159.9847,88300.8921,5.7870,5.7870,199878.8934,173.4233,184.2362,818860.0000,877292.0000
4,tau,kv_cache,p1_L768,768,512,3,1152,3,111207.3523,0.0000,149.0619,77995.0040,6.5517,6.5517,189351.4182,152.8377,157.1671,877292.0000,884676.0000
5,nano,no_cache,p2_L768,768,512,3,1152,3,0.0000,0.0000,1005.3639,779997.6784,0.6551,0.6551,781003.0423,1410.4511,2131.8333,884684.0000,872792.0000
6,tau,no_cache,p2_L768,768,512,3,1152,3,0.0000,0.0000,1095.4494,826794.0810,0.6180,0.6180,827889.5303,1512.8217,2156.2951,872792.0000,872792.0000
7,nano,kv_cache,p2_L768,768,512,3,1152,3,112729.6988,0.0000,159.3844,87654.5745,5.8297,5.8297,200543.6577,172.9824,182.2711,872804.0000,886424.0000
8,tau,kv_cache,p2_L768,768,512,3,1152,3,110284.5861,0.0000,150.6861,78075.7489,6.5449,6.5449,188511.0211,152.5564,156.4449,886424.0000,886440.0000
9,nano,no_cache,p3_L768,768,512,3,1152,3,0.0000,0.0000,1108.9091,778950.9867,0.6560,0.6560,780059.8958,1416.5766,2133.0744,886444.0000,874548.0000
10,tau,no_cache,p3_L768,768,512,3,1152,3,0.0000,0.0000,1086.6394,828044.0369,0.6171,0.6171,829130.6763,1513.6498,2155.8943,874548.0000,874548.0000
11,nano,kv_cache,p3_L768,768,512,3,1152,3,112258.7785,0.0000,160.1247,88597.7774,5.7676,5.7676,201016.6807,174.0034,183.0160,874548.0000,893160.0000
12,tau,kv_cache,p3_L768,768,512,3,1152,3,107958.4893,0.0000,144.7520,77539.8430,6.5902,6.5902,185643.0843,150.1933,165.0187,893160.0000,894876.0000
13,nano,no_cache,p1_L1152,1152,512,3,1152,3,0.0000,0.0000,1855.9803,1245192.8780,0.4104,0.4104,1247048.8583,2510.9710,2801.8054,894876.0000,946796.0000
14,tau,no_cache,p1_L1152,1152,512,3,1152,3,0.0000,0.0000,1760.4482,1158851.3994,0.4410,0.4410,1160611.8477,2243.6702,2862.2259,946796.0000,946800.0000
15,nano,kv_cache,p1_L1152,1152,512,3,1152,3,180751.7068,0.0000,179.1333,98446.9695,5.1906,5.1906,279377.8096,192.6178,202.5855,946800.0000,951552.0000
16,tau,kv_cache,p1_L1152,1152,512,3,1152,3,168871.8773,0.0000,152.2402,81179.6641,6.2947,6.2947,250203.7815,158.9539,165.5718,951556.0000,956028.0000
17,nano,no_cache,p2_L1152,1152,512,3,1152,3,0.0000,0.0000,1684.1878,1111496.1482,0.4597,0.4597,1113180.3359,2109.3198,2792.3505,956028.0000,956112.0000
18,tau,no_cache,p2_L1152,1152,512,3,1152,3,0.0000,0.0000,1686.8120,1156114.7444,0.4420,0.4420,1157801.5564,2209.2357,2858.3229,956112.0000,956112.0000
19,nano,kv_cache,p2_L1152,1152,512,3,1152,3,182825.8183,0.0000,185.3257,99008.9596,5.1611,5.1611,282020.1036,193.1839,202.8229,956112.0000,959988.0000
20,tau,kv_cache,p2_L1152,1152,512,3,1152,3,169592.7442,0.0000,151.6646,81321.4006,6.2837,6.2837,251065.8093,159.2598,165.0252,959988.0000,961740.0000
21,nano,no_cache,p3_L1152,1152,512,3,1152,3,0.0000,0.0000,1634.4016,1112433.9533,0.4594,0.4594,1114068.3549,2092.0994,2782.9533,961740.0000,961848.0000
22,tau,no_cache,p3_L1152,1152,512,3,1152,3,0.0000,0.0000,1683.6175,1158646.6177,0.4410,0.4410,1160330.2352,2231.9271,2845.1802,961852.0000,961852.0000
23,nano,kv_cache,p3_L1152,1152,512,3,1152,3,176199.9714,0.0000,175.6994,95868.3266,5.3302,5.3302,272243.9973,187.4383,197.7825,961856.0000,961860.0000
24,tau,kv_cache,p3_L1152,1152,512,3,1152,3,168832.8507,0.0000,152.9957,81543.8111,6.2666,6.2666,250529.6574,159.7133,165.5381,961860.0000,962208.0000
