run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1,384,1024,0.0000,0.0000,106.1111,254006.5915,4.0275,4.0275,254112.7026,235.2269,431.6038,104464.0000,131908.0000
2,nano,kv_cache,p1,384,1024,5192.0303,0.0000,15.1359,21550.8298,47.4692,47.4692,26757.9960,20.9507,26.0743,131924.0000,138228.0000
3,nano,no_cache,p1,384,1024,0.0000,0.0000,95.7398,252801.6086,4.0467,4.0467,252897.3484,235.7768,430.4531,104640.0000,131936.0000
4,nano,kv_cache,p1,384,1024,5058.8119,0.0000,15.9422,22369.7970,45.7313,45.7313,27444.5512,21.6574,27.4801,131936.0000,138244.0000
5,nano,no_cache,p1,384,1024,0.0000,0.0000,87.7326,253871.1983,4.0296,4.0296,253958.9308,232.4057,432.8377,104644.0000,131944.0000
6,nano,kv_cache,p1,384,1024,4828.3798,0.0000,14.2423,19880.8596,51.4565,51.4565,24723.4816,18.5335,24.3270,131948.0000,138240.0000
7,nano,no_cache,p2,384,1024,0.0000,0.0000,108.8437,253734.4445,4.0318,4.0318,253843.2882,236.2728,431.8880,104668.0000,131960.0000
8,nano,kv_cache,p2,384,1024,4991.8582,0.0000,14.7288,21439.3324,47.7160,47.7160,26445.9194,20.9481,25.5543,131960.0000,138248.0000
9,nano,no_cache,p2,384,1024,0.0000,0.0000,103.1359,256327.0524,3.9910,3.9910,256430.1883,240.8307,431.1513,104668.0000,131992.0000
10,nano,kv_cache,p2,384,1024,5310.6662,0.0000,15.2900,20517.0807,49.8609,49.8609,25843.0368,19.7038,24.7859,131992.0000,138280.0000
11,nano,no_cache,p2,384,1024,0.0000,0.0000,89.5464,254175.2861,4.0248,4.0248,254264.8326,232.8954,435.4360,104700.0000,131992.0000
12,nano,kv_cache,p2,384,1024,5485.7243,0.0000,16.2269,22288.0936,45.8989,45.8989,27790.0447,21.7736,26.5402,131996.0000,142444.0000
13,nano,no_cache,p3,384,1024,0.0000,0.0000,90.9792,255156.1415,4.0093,4.0093,255247.1207,238.5383,431.9448,104724.0000,132016.0000
14,nano,kv_cache,p3,384,1024,5293.7124,0.0000,14.9463,21550.4421,47.4700,47.4700,26859.1008,20.9363,25.9818,132020.0000,142480.0000
15,nano,no_cache,p3,384,1024,0.0000,0.0000,87.3133,253356.7140,4.0378,4.0378,253444.0273,237.6666,430.6698,104728.0000,132020.0000
16,nano,kv_cache,p3,384,1024,5485.0309,0.0000,16.6424,21364.8555,47.8824,47.8824,26866.5288,19.8152,26.5419,132020.0000,138320.0000
17,nano,no_cache,p3,384,1024,0.0000,0.0000,87.8488,252050.0072,4.0587,4.0587,252137.8560,233.5232,429.4592,104728.0000,132024.0000
18,nano,kv_cache,p3,384,1024,5254.9097,0.0000,16.3516,21849.9861,46.8193,46.8193,27121.2475,20.3487,26.5845,132024.0000,138324.0000
19,tau,no_cache,p1,384,1024,0.0000,0.0000,117.3167,322605.6405,3.1711,3.1711,322722.9572,303.3800,514.7434,120932.0000,120940.0000
20,tau,kv_cache,p1,384,1024,4718.0652,0.0000,12.9809,16113.6717,63.4865,63.4865,20844.7177,15.9553,17.7435,120944.0000,120944.0000
21,tau,no_cache,p1,384,1024,0.0000,0.0000,137.4175,323961.8682,3.1578,3.1578,324099.2857,312.6739,516.3065,120944.0000,120944.0000
22,tau,kv_cache,p1,384,1024,4915.9770,0.0000,14.3319,15328.8742,66.7368,66.7368,20259.1832,14.8275,17.0426,120944.0000,120944.0000
23,tau,no_cache,p1,384,1024,0.0000,0.0000,121.0547,323820.9399,3.1592,3.1592,323941.9946,308.3411,520.5331,120944.0000,120944.0000
24,tau,kv_cache,p1,384,1024,4941.1481,0.0000,14.1349,16395.4729,62.3953,62.3953,21350.7559,15.8726,18.2225,120944.0000,120944.0000
25,tau,no_cache,p2,384,1024,0.0000,0.0000,119.9261,324452.7105,3.1530,3.1530,324572.6366,310.1199,516.7670,120952.0000,120952.0000
26,tau,kv_cache,p2,384,1024,4540.5942,0.0000,11.6797,15109.7019,67.7048,67.7048,19661.9757,14.6335,17.9579,120952.0000,120952.0000
27,tau,no_cache,p2,384,1024,0.0000,0.0000,122.9626,324429.2439,3.1532,3.1532,324552.2065,320.4103,516.7779,120952.0000,120952.0000
28,tau,kv_cache,p2,384,1024,4736.2651,0.0000,12.6957,15983.5898,64.0031,64.0031,20732.5505,15.6375,18.5287,120960.0000,120960.0000
29,tau,no_cache,p2,384,1024,0.0000,0.0000,121.0867,324472.2870,3.1528,3.1528,324593.3737,311.4767,519.0640,120960.0000,120960.0000
30,tau,kv_cache,p2,384,1024,4801.2894,0.0000,13.5187,16040.6481,63.7755,63.7755,20855.4561,15.4485,18.8307,120960.0000,120960.0000
31,tau,no_cache,p3,384,1024,0.0000,0.0000,136.6373,325500.3924,3.1429,3.1429,325637.0297,309.9417,517.2520,120960.0000,120960.0000
32,tau,kv_cache,p3,384,1024,4819.9976,0.0000,15.0314,16992.0398,60.2047,60.2047,21827.0688,16.4042,19.1106,120960.0000,120960.0000
33,tau,no_cache,p3,384,1024,0.0000,0.0000,122.2927,323805.8136,3.1593,3.1593,323928.1063,310.3266,516.8588,120960.0000,120960.0000
34,tau,kv_cache,p3,384,1024,4439.0923,0.0000,13.6268,17284.7750,59.1850,59.1850,21737.4942,16.8479,19.6208,120964.0000,120964.0000
35,tau,no_cache,p3,384,1024,0.0000,0.0000,119.6118,323372.8165,3.1635,3.1635,323492.4283,301.3786,513.7514,120964.0000,120964.0000
36,tau,kv_cache,p3,384,1024,4946.5581,0.0000,14.0228,15477.7728,66.0948,66.0948,20438.3538,15.3037,17.2237,120968.0000,120968.0000
