run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1,384,256,0.0000,0.0000,272.0705,103103.5089,2.4732,2.4732,103375.5794,371.9415,557.0324,233752.0000,228024.0000
2,nano,kv_cache,p1,384,256,25453.7165,0.0000,70.1151,18246.5446,13.9752,13.9752,43770.3761,71.4183,74.8885,228040.0000,234060.0000
3,nano,no_cache,p1,384,256,0.0000,0.0000,265.9072,102310.3931,2.4924,2.4924,102576.3002,367.7073,556.4965,234064.0000,228340.0000
4,nano,kv_cache,p1,384,256,25315.6473,0.0000,69.4770,18512.0160,13.7748,13.7748,43897.1402,72.5233,76.5172,228340.0000,234228.0000
5,nano,no_cache,p1,384,256,0.0000,0.0000,289.9002,101774.8631,2.5055,2.5055,102064.7633,370.9671,537.5455,234236.0000,228500.0000
6,nano,kv_cache,p1,384,256,25328.6790,0.0000,68.6635,18171.3407,14.0331,14.0331,43568.6832,70.4000,75.9075,228500.0000,235376.0000
7,nano,no_cache,p2,384,256,0.0000,0.0000,277.1049,101299.3528,2.5173,2.5173,101576.4577,364.6285,547.1645,235520.0000,229788.0000
8,nano,kv_cache,p2,384,256,24463.6827,0.0000,65.2634,17815.5192,14.3134,14.3134,42344.4653,70.0313,74.6828,229792.0000,235604.0000
9,nano,no_cache,p2,384,256,0.0000,0.0000,278.6005,102475.2043,2.4884,2.4884,102753.8049,354.4519,551.9900,235604.0000,229876.0000
10,nano,kv_cache,p2,384,256,25083.8615,0.0000,67.9339,18483.8643,13.7958,13.7958,43635.6598,72.3930,75.9582,229876.0000,235668.0000
11,nano,no_cache,p2,384,256,0.0000,0.0000,313.6208,100655.3887,2.5334,2.5334,100969.0095,353.9755,544.7770,235668.0000,229936.0000
12,nano,kv_cache,p2,384,256,25539.1398,0.0000,70.2640,18437.0264,13.8309,13.8309,44046.4302,72.0174,76.5469,229936.0000,235828.0000
13,nano,no_cache,p3,384,256,0.0000,0.0000,261.1135,101084.7706,2.5226,2.5226,101345.8841,365.6924,550.0973,238708.0000,232984.0000
14,nano,kv_cache,p3,384,256,24557.4269,0.0000,66.9777,18084.2715,14.1007,14.1007,42708.6761,71.1243,74.5407,232984.0000,238752.0000
15,nano,no_cache,p3,384,256,0.0000,0.0000,261.4232,100295.5778,2.5425,2.5425,100557.0010,367.6410,534.7401,238752.0000,233016.0000
16,nano,kv_cache,p3,384,256,25362.7662,0.0000,69.2065,18504.2758,13.7806,13.7806,43936.2485,72.7461,76.7696,233016.0000,238772.0000
17,nano,no_cache,p3,384,256,0.0000,0.0000,281.4906,101649.9080,2.5086,2.5086,101931.3986,345.1712,567.4460,238776.0000,233044.0000
18,nano,kv_cache,p3,384,256,25149.1865,0.0000,67.9264,18740.8274,13.6067,13.6067,43957.9404,73.6325,81.5769,233044.0000,238792.0000
19,tau,no_cache,p1,384,256,0.0000,0.0000,370.7884,116790.7489,2.1834,2.1834,117161.5374,423.4177,606.2575,230116.0000,224380.0000
20,tau,kv_cache,p1,384,256,25612.8047,0.0000,65.4716,17027.6741,14.9756,14.9756,42705.9504,66.5009,69.7374,224380.0000,230112.0000
21,tau,no_cache,p1,384,256,0.0000,0.0000,341.3692,116485.6342,2.1891,2.1891,116827.0034,418.0721,630.8025,230112.0000,224380.0000
22,tau,kv_cache,p1,384,256,24947.9460,0.0000,66.4928,17213.7906,14.8137,14.8137,42228.2294,67.5269,68.9235,224380.0000,230112.0000
23,tau,no_cache,p1,384,256,0.0000,0.0000,310.3190,117261.7535,2.1746,2.1746,117572.0726,424.6410,675.3339,230112.0000,224380.0000
24,tau,kv_cache,p1,384,256,24946.2212,0.0000,65.6493,17157.5208,14.8623,14.8623,42169.3913,67.2045,69.2452,224380.0000,230112.0000
25,tau,no_cache,p2,384,256,0.0000,0.0000,303.8950,117900.3761,2.1628,2.1628,118204.2712,422.6960,677.7644,230112.0000,224380.0000
26,tau,kv_cache,p2,384,256,25034.7575,0.0000,67.6565,17282.7739,14.7546,14.7546,42385.1879,67.8214,69.4556,224380.0000,230112.0000
27,tau,no_cache,p2,384,256,0.0000,0.0000,301.2808,118116.5882,2.1589,2.1589,118417.8689,419.2191,691.6132,230112.0000,224380.0000
28,tau,kv_cache,p2,384,256,24443.4476,0.0000,65.0280,16729.7521,15.2423,15.2423,41238.2277,66.0328,68.2531,224380.0000,230112.0000
29,tau,no_cache,p2,384,256,0.0000,0.0000,321.9831,116717.1427,2.1848,2.1848,117039.1257,424.0884,627.5709,230112.0000,224388.0000
30,tau,kv_cache,p2,384,256,24232.6755,0.0000,61.1125,16175.6511,15.7644,15.7644,40469.4391,63.3336,65.2407,224388.0000,230108.0000
31,tau,no_cache,p3,384,256,0.0000,0.0000,305.9454,117669.3358,2.1671,2.1671,117975.2813,422.8998,636.7343,230104.0000,224388.0000
32,tau,kv_cache,p3,384,256,24092.2930,0.0000,63.4652,16820.4267,15.1601,15.1601,40976.1850,65.8659,67.4174,224388.0000,230104.0000
33,tau,no_cache,p3,384,256,0.0000,0.0000,332.7695,118108.8046,2.1590,2.1590,118441.5741,427.1967,641.6930,230104.0000,224388.0000
34,tau,kv_cache,p3,384,256,24273.7434,0.0000,63.8683,16794.1829,15.1838,15.1838,41131.7946,66.0331,68.2959,224388.0000,230104.0000
35,tau,no_cache,p3,384,256,0.0000,0.0000,306.7423,118812.5012,2.1462,2.1462,119119.2435,419.3416,665.7766,230104.0000,224388.0000
36,tau,kv_cache,p3,384,256,24251.3533,0.0000,66.1063,16346.2159,15.5999,15.5999,40663.6756,64.1045,66.7056,224388.0000,230108.0000
