run_id,engine,mode,prompt_id,embd_mult,token_index,token_ms
1,nano,no_cache,p1_L768,5,0,4082.591565
1,nano,no_cache,p1_L768,5,1,3024.091494
1,nano,no_cache,p1_L768,5,2,2992.541751
1,nano,no_cache,p1_L768,5,3,3007.621553
1,nano,no_cache,p1_L768,5,4,3099.984916
1,nano,no_cache,p1_L768,5,5,3142.458645
1,nano,no_cache,p1_L768,5,6,2969.154481
1,nano,no_cache,p1_L768,5,7,3001.234122
1,nano,no_cache,p1_L768,5,8,3001.694113
1,nano,no_cache,p1_L768,5,9,2979.925381
1,nano,no_cache,p1_L768,5,10,3002.806372
1,nano,no_cache,p1_L768,5,11,3007.959772
1,nano,no_cache,p1_L768,5,12,3031.904687
1,nano,no_cache,p1_L768,5,13,2957.963709
1,nano,no_cache,p1_L768,5,14,2976.754021
1,nano,no_cache,p1_L768,5,15,3040.196837
1,nano,no_cache,p1_L768,5,16,3058.250198
1,nano,no_cache,p1_L768,5,17,2987.258631
1,nano,no_cache,p1_L768,5,18,2996.002719
1,nano,no_cache,p1_L768,5,19,2948.722113
1,nano,no_cache,p1_L768,5,20,2973.810157
1,nano,no_cache,p1_L768,5,21,3081.347452
1,nano,no_cache,p1_L768,5,22,3065.744650
1,nano,no_cache,p1_L768,5,23,3080.411019
1,nano,no_cache,p1_L768,5,24,3097.951227
1,nano,no_cache,p1_L768,5,25,3046.405707
1,nano,no_cache,p1_L768,5,26,3038.276980
1,nano,no_cache,p1_L768,5,27,3001.660140
1,nano,no_cache,p1_L768,5,28,3044.910462
1,nano,no_cache,p1_L768,5,29,3154.373818
1,nano,no_cache,p1_L768,5,30,2956.761478
1,nano,no_cache,p1_L768,5,31,3036.649012
1,nano,no_cache,p1_L768,5,32,3096.440936
1,nano,no_cache,p1_L768,5,33,3031.847514
1,nano,no_cache,p1_L768,5,34,3076.841426
1,nano,no_cache,p1_L768,5,35,3157.942638
1,nano,no_cache,p1_L768,5,36,3072.554234
1,nano,no_cache,p1_L768,5,37,3181.181728
1,nano,no_cache,p1_L768,5,38,3064.127492
1,nano,no_cache,p1_L768,5,39,2992.301423
1,nano,no_cache,p1_L768,5,40,3024.544014
