prompt_len,speedup_kv_cache_predicted,speedup_kv_cache_observed
384.0,1.1896967960931812,1.1924810180436973
404.12946385994996,1.1969552006909847,
425.314123853465,1.2042578892084208,
447.6092938670971,1.211605131824082,
471.0731873678143,1.2189972003649352,
495.76706940039713,1.2264343683163776,
521.7554165526069,1.233916910832357,
549.1060853058068,1.2414451047455493,
577.890489210603,1.2490192285776014,
608.1837853501182,1.2566395625494369,
640.0650705777555,1.2643063885916213,
673.6175880418471,1.2720199903547944,
708.9289445364172,1.2797806532201632,
746.0913392455792,1.2875886643100625,
785.2018044788234,1.2954443124985746,
826.3624590257606,1.3033478884222178,
869.68077479185,1.3112996844907014,
915.269857411292,1.3192999948977406,
963.248741569787,1.3273491156319428,
1013.7427018082547,1.3354473444877586,
1066.8835796190285,1.3435949810764976,
1122.8101276885993,1.3517923268374148,
1181.6683721857173,1.3600396850488623,
1243.6119940408166,1.3683373608395102,
1308.802730212289,1.3766856611996348,
1377.41079598732,1.3850848949924766,
1449.6153294199542,1.3935353729656677,
1525.6048590667986,1.402037407762728,
1605.5777962416657,1.410591313934633,
1689.7429530744398,1.419197407951451,
1778.3200877268255,1.42785600821405,
1871.5404781885982,1.4365674350658797,
1969.6475261524802,1.4453320108048229,
2072.8973925444748,1.454150059695119,
2181.559666368978,1.4630219079793607,
2295.9180686150657,1.4719478838905649,
2416.2711930619244,1.4809283176643158,
2542.933285917596,1.4899635415509822,
2676.2350663268194,1.4990538898280117,
2816.5245898902467,1.5081996988122954,
2964.168157449767,1.5174013068726129,
3119.5512715127893,1.5266590544421494,
3283.07964281273,1.535973284031092,
3455.1802496339174,1.5453443402393001,
3636.3024526667778,1.5547725697690566,
3826.919168304285,1.5642583214378931,
4027.5281034431705,1.573801946191496,
4238.653055013982,1.5834037971166905,
4460.845277633175,1.5930642294545037,
4694.684922948136,1.6027836006133067,
4940.7825544333855,1.61256227018204,
5199.780741593124,1.6224005999435136,
5472.355737732608,1.632298953887796,
5759.2192456791645,1.6422576982256776,
6061.120276063088,1.6522772014022211,
6378.847103010538,1.6623578341103924,
6713.229322354807,1.6724999693047755,
7065.140017739947,1.6827039822153698,
7435.49804027272,1.6929702503614745,
7825.270407674797,1.7032991535656534,
8235.474829199862,1.7136910739677884,
8667.182362907957,1.7241463960392185,
9121.520212235422,1.7346655065969616,
9599.674669162503,1.7452487948180289,
10102.89421166299,1.7558966522538206,
10632.49276352383,1.7666094728446127,
11189.853125046056,1.7773876529341337,
11776.430583584486,1.7882315912842253,
12393.756713353958,1.799141689089598,
13043.443374422874,1.810118349992671,
13727.186921336293,1.8211619800985102,
14446.77263235666,1.8322729879898492,
15204.079370887728,1.8434517847422063,
16001.08449125257,1.8546987839390958,
16839.869001634546,1.8660144016873255,
17722.622997662373,1.877399056632394,
18651.651380826315,1.8888531699739792,
19629.379876656352,1.900377165481521,
20658.361368376118,1.9119714695098993,
21741.282562570133,1.9236365110152076,
22880.97100426863,1.9353727215706253,
24080.402459766014,1.947180535382382,
25342.708686450642,1.9590603893058227,
26671.185609932818,1.9710127228615721,
28069.301929821275,1.9830379782517926,
29540.708176619053,1.995136600376546,
