run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1,384,128,0.0000,0.0000,87.3014,13183.3541,9.6334,9.6334,13270.6556,103.6697,113.5567,88780.0000,90308.0000
2,nano,kv_cache,p1,384,128,5369.2742,0.0000,18.0713,2046.6453,62.0528,62.0528,7433.9907,16.0840,17.7195,90312.0000,97176.0000
3,nano,no_cache,p1,384,128,0.0000,0.0000,91.7730,13010.0015,9.7617,9.7617,13101.7744,101.9212,114.2127,85080.0000,90332.0000
4,nano,kv_cache,p1,384,128,5327.3694,0.0000,15.0827,2165.8732,58.6369,58.6369,7508.3253,17.3000,18.3583,90332.0000,97852.0000
5,nano,no_cache,p1,384,128,0.0000,0.0000,88.2623,12974.2914,9.7886,9.7886,13062.5538,101.5018,113.4257,88164.0000,90352.0000
6,nano,kv_cache,p1,384,128,5085.2701,0.0000,17.0165,2305.3378,55.0895,55.0895,7407.6243,18.1795,19.9224,90352.0000,97912.0000
7,nano,no_cache,p2,384,128,0.0000,0.0000,91.0829,12986.9715,9.7790,9.7790,13078.0544,102.4408,116.5003,85136.0000,90380.0000
8,nano,kv_cache,p2,384,128,5177.1804,0.0000,18.9793,2221.3547,57.1723,57.1723,7417.5144,17.5407,19.0569,90380.0000,97616.0000
9,nano,no_cache,p2,384,128,0.0000,0.0000,96.7277,13074.6734,9.7134,9.7134,13171.4011,103.5108,115.0181,85156.0000,90412.0000
10,nano,kv_cache,p2,384,128,5635.6957,0.0000,17.1563,2196.4927,57.8195,57.8195,7849.3447,17.1563,18.7720,90412.0000,97248.0000
11,nano,no_cache,p2,384,128,0.0000,0.0000,91.7229,13139.1917,9.6657,9.6657,13230.9146,103.5756,114.9036,85176.0000,90436.0000
12,nano,kv_cache,p2,384,128,5183.2411,0.0000,16.5616,2063.1999,61.5549,61.5549,7263.0027,16.0814,17.9971,90436.0000,97308.0000
13,nano,no_cache,p3,384,128,0.0000,0.0000,88.8639,13045.5014,9.7352,9.7352,13134.3653,101.4551,116.1312,85224.0000,90468.0000
14,nano,kv_cache,p3,384,128,5062.1862,0.0000,16.1938,2073.5720,61.2470,61.2470,7151.9520,16.2592,17.9518,90468.0000,97980.0000
15,nano,no_cache,p3,384,128,0.0000,0.0000,106.5616,13258.3565,9.5789,9.5789,13364.9181,104.1867,116.4821,85228.0000,90468.0000
16,nano,kv_cache,p3,384,128,5052.8105,0.0000,16.7146,2019.5468,62.8854,62.8854,7089.0720,15.9177,17.0126,90468.0000,97480.0000
17,nano,no_cache,p3,384,128,0.0000,0.0000,90.9072,13035.2818,9.7428,9.7428,13126.1890,102.7042,115.3022,85228.0000,90472.0000
18,nano,kv_cache,p3,384,128,5220.6309,0.0000,16.7050,2010.1903,63.1781,63.1781,7247.5261,15.9555,16.9293,90484.0000,97972.0000
19,tau,no_cache,p1,384,128,0.0000,0.0000,135.8699,17883.9375,7.1013,7.1013,18019.8073,141.5757,158.5206,86008.0000,86008.0000
20,tau,kv_cache,p1,384,128,5083.6061,0.0000,13.1574,1812.0499,70.0864,70.0864,6908.8134,14.3103,15.7828,86028.0000,86028.0000
21,tau,no_cache,p1,384,128,0.0000,0.0000,122.7385,18371.2698,6.9130,6.9130,18494.0083,142.4543,170.6810,86028.0000,86028.0000
22,tau,kv_cache,p1,384,128,5087.1663,0.0000,13.3715,1813.4462,70.0324,70.0324,6913.9840,14.3906,15.6276,86028.0000,86028.0000
23,tau,no_cache,p1,384,128,0.0000,0.0000,121.4486,18648.9407,6.8100,6.8100,18770.3894,142.9101,172.4316,86028.0000,86028.0000
24,tau,kv_cache,p1,384,128,4754.1488,0.0000,12.7227,1698.1142,74.7888,74.7888,6464.9857,13.4136,14.5251,86028.0000,86028.0000
25,tau,no_cache,p2,384,128,0.0000,0.0000,118.2680,18149.0491,6.9976,6.9976,18267.3171,142.2247,162.4185,86116.0000,86116.0000
26,tau,kv_cache,p2,384,128,4783.7189,0.0000,12.4588,1803.3605,70.4241,70.4241,6599.5382,13.9914,15.7118,86116.0000,86116.0000
27,tau,no_cache,p2,384,128,0.0000,0.0000,135.7362,18691.0965,6.7947,6.7947,18826.8327,147.3654,170.8087,86116.0000,86120.0000
