run_id,engine,mode,prompt_id,token_index,token_ms
1,nano,no_cache,p1,0,87.301438
1,nano,no_cache,p1,1,91.008420
1,nano,no_cache,p1,2,94.495509
1,nano,no_cache,p1,3,107.286661
1,nano,no_cache,p1,4,104.885441
1,nano,no_cache,p1,5,94.379918
1,nano,no_cache,p1,6,105.632256
1,nano,no_cache,p1,7,100.761314
1,nano,no_cache,p1,8,98.158903
1,nano,no_cache,p1,9,92.100750
1,nano,no_cache,p1,10,96.370775
1,nano,no_cache,p1,11,97.303167
1,nano,no_cache,p1,12,91.214289
1,nano,no_cache,p1,13,96.983192
1,nano,no_cache,p1,14,106.997021
1,nano,no_cache,p1,15,110.004059
1,nano,no_cache,p1,16,101.984774
1,nano,no_cache,p1,17,93.900266
1,nano,no_cache,p1,18,95.087277
1,nano,no_cache,p1,19,95.297246
1,nano,no_cache,p1,20,94.683791
1,nano,no_cache,p1,21,98.073596
1,nano,no_cache,p1,22,97.201444
1,nano,no_cache,p1,23,92.745308
1,nano,no_cache,p1,24,93.875421
1,nano,no_cache,p1,25,96.084426
1,nano,no_cache,p1,26,99.425056
1,nano,no_cache,p1,27,98.104780
1,nano,no_cache,p1,28,97.131983
1,nano,no_cache,p1,29,99.103183
1,nano,no_cache,p1,30,97.510902
1,nano,no_cache,p1,31,97.855590
1,nano,no_cache,p1,32,98.051079
1,nano,no_cache,p1,33,98.034753
1,nano,no_cache,p1,34,98.377786
1,nano,no_cache,p1,35,99.394848
1,nano,no_cache,p1,36,101.250624
1,nano,no_cache,p1,37,98.936664
1,nano,no_cache,p1,38,98.500224
1,nano,no_cache,p1,39,98.820327
1,nano,no_cache,p1,40,98.143225
1,nano,no_cache,p1,41,102.096028
1,nano,no_cache,p1,42,100.242794
1,nano,no_cache,p1,43,101.943957
1,nano,no_cache,p1,44,100.149748
1,nano,no_cache,p1,45,102.104317
1,nano,no_cache,p1,46,99.975984
1,nano,no_cache,p1,47,99.839265
1,nano,no_cache,p1,48,98.824218
1,nano,no_cache,p1,49,98.958438
1,nano,no_cache,p1,50,100.270122
1,nano,no_cache,p1,51,103.249861
1,nano,no_cache,p1,52,98.913571
1,nano,no_cache,p1,53,101.148012
1,nano,no_cache,p1,54,101.656903
1,nano,no_cache,p1,55,102.020954
1,nano,no_cache,p1,56,101.015696
1,nano,no_cache,p1,57,100.188930
1,nano,no_cache,p1,58,99.280540
1,nano,no_cache,p1,59,102.093311
1,nano,no_cache,p1,60,103.823051
1,nano,no_cache,p1,61,104.951406
1,nano,no_cache,p1,62,103.468898
1,nano,no_cache,p1,63,103.807622
1,nano,no_cache,p1,64,100.904933
1,nano,no_cache,p1,65,103.592737
1,nano,no_cache,p1,66,102.071128
1,nano,no_cache,p1,67,103.669725
1,nano,no_cache,p1,68,102.103124
1,nano,no_cache,p1,69,103.905991
1,nano,no_cache,p1,70,102.596557
1,nano,no_cache,p1,71,101.839643
1,nano,no_cache,p1,72,103.437695
1,nano,no_cache,p1,73,105.272467
1,nano,no_cache,p1,74,105.037370
1,nano,no_cache,p1,75,106.783662
1,nano,no_cache,p1,76,103.599289
1,nano,no_cache,p1,77,104.221522
1,nano,no_cache,p1,78,105.668001
1,nano,no_cache,p1,79,104.390670
1,nano,no_cache,p1,80,103.980115
1,nano,no_cache,p1,81,104.648291
1,nano,no_cache,p1,82,105.102163
1,nano,no_cache,p1,83,105.477476
1,nano,no_cache,p1,84,104.042511
1,nano,no_cache,p1,85,106.772025
1,nano,no_cache,p1,86,107.429743
1,nano,no_cache,p1,87,105.218777
1,nano,no_cache,p1,88,105.437118
1,nano,no_cache,p1,89,106.536413
1,nano,no_cache,p1,90,106.705532
1,nano,no_cache,p1,91,107.091595
1,nano,no_cache,p1,92,106.049125
1,nano,no_cache,p1,93,105.934432
1,nano,no_cache,p1,94,111.432197
1,nano,no_cache,p1,95,108.717271
1,nano,no_cache,p1,96,107.888255
1,nano,no_cache,p1,97,108.890072
1,nano,no_cache,p1,98,107.758752
1,nano,no_cache,p1,99,109.324423
1,nano,no_cache,p1,100,109.487583
1,nano,no_cache,p1,101,107.387978
1,nano,no_cache,p1,102,107.866830
1,nano,no_cache,p1,103,110.877717
1,nano,no_cache,p1,104,108.200143
1,nano,no_cache,p1,105,110.313721
1,nano,no_cache,p1,106,109.993523
1,nano,no_cache,p1,107,109.030281
1,nano,no_cache,p1,108,110.120327
1,nano,no_cache,p1,109,109.935054
1,nano,no_cache,p1,110,110.317441
1,nano,no_cache,p1,111,112.025011
1,nano,no_cache,p1,112,112.982498
1,nano,no_cache,p1,113,111.684480
1,nano,no_cache,p1,114,112.233884
1,nano,no_cache,p1,115,113.556673
1,nano,no_cache,p1,116,110.285270
1,nano,no_cache,p1,117,112.434460
1,nano,no_cache,p1,118,112.586338
1,nano,no_cache,p1,119,112.268810
1,nano,no_cache,p1,120,112.184711
1,nano,no_cache,p1,121,117.732665
1,nano,no_cache,p1,122,113.459926
1,nano,no_cache,p1,123,115.162314
1,nano,no_cache,p1,124,116.240736
1,nano,no_cache,p1,125,113.983576
1,nano,no_cache,p1,126,114.742574
1,nano,no_cache,p1,127,117.497315
2,nano,kv_cache,p1,0,18.071251
2,nano,kv_cache,p1,1,17.063698
2,nano,kv_cache,p1,2,17.986717
2,nano,kv_cache,p1,3,17.131109
2,nano,kv_cache,p1,4,17.355481
2,nano,kv_cache,p1,5,16.729381
2,nano,kv_cache,p1,6,16.126842
2,nano,kv_cache,p1,7,16.050127
2,nano,kv_cache,p1,8,16.333803
2,nano,kv_cache,p1,9,16.354054
2,nano,kv_cache,p1,10,16.308302
2,nano,kv_cache,p1,11,19.179007
2,nano,kv_cache,p1,12,18.423274
2,nano,kv_cache,p1,13,15.998636
2,nano,kv_cache,p1,14,15.029896
2,nano,kv_cache,p1,15,15.396375
2,nano,kv_cache,p1,16,15.584966
2,nano,kv_cache,p1,17,14.874493
2,nano,kv_cache,p1,18,15.277204
2,nano,kv_cache,p1,19,15.117728
2,nano,kv_cache,p1,20,15.269908
2,nano,kv_cache,p1,21,15.030754
2,nano,kv_cache,p1,22,15.433812
2,nano,kv_cache,p1,23,15.039229
2,nano,kv_cache,p1,24,16.073452
