device,variant,engine,token_ms_mean_gain_kv_over_no_cache,token_ms_p50_gain_kv_over_no_cache,token_ms_p95_gain_kv_over_no_cache
unknown,1767066084,nano,6.156588328889956,6.198275734258477,6.102572513255881
unknown,1767066084,tau,10.128348492498716,9.949755707828967,10.798537683354803
unknown,1767089337,nano,6.872222394461193,6.924652906791252,7.367380831409007
unknown,1767089337,tau,12.134383139830062,12.30752736386117,13.79438430077026
unknown,1767090496,nano,8.22923747527342,8.121278217032863,10.197806854237601
unknown,1767090496,tau,14.350340957977425,14.325315797154799,17.872917234526415
unknown,1767094626,nano,11.849533880981868,11.344907164263068,16.485749421584238
unknown,1767094626,tau,20.142585637787604,19.898784559020992,27.598284217868443
unknown,1767102282,nano,4.423329308789598,4.3795868664749005,4.6966879323332265
unknown,1767102282,tau,5.523330303772143,5.485808454638916,6.011851057996387
unknown,1767104587,nano,5.537988128800181,5.065929314622907,7.19015495968085
unknown,1767104587,tau,6.972620575415108,6.3808068298901865,9.615961129610616
unknown,1767204018,nano,25.39395885776365,20.753105566419723,38.401954497395
unknown,1767204018,tau,48.82835794687714,41.54870027716179,79.14143576510503
unknown,1767240798,nano,10.518914526838657,10.508470780213319,13.655146445713134
unknown,1767240798,tau,12.465150455250816,12.735321808776346,16.989079501703383
