device,variant,mode,token_ms_mean_speedup_tau_over_nano,token_ms_p50_speedup_tau_over_nano,token_ms_p95_speedup_tau_over_nano
unknown,1767066084,kv_cache,1.1702551613654302,1.1560105837007455,1.2006598982954968
unknown,1767066084,no_cache,0.7113478839735483,0.7201455553185405,0.6785283626320013
unknown,1767089337,kv_cache,1.2333139391222006,1.2543018807158444,1.2499416843986895
unknown,1767089337,no_cache,0.6984786597034577,0.7057148773681718,0.6675757471468867
unknown,1767090496,kv_cache,1.2745835603832716,1.2856466738899368,1.2954319012376379
unknown,1767090496,no_cache,0.730913002777306,0.728856136598178,0.7391386726795458
unknown,1767094626,kv_cache,1.3321012011588427,1.330806611413779,1.398526693581357
unknown,1767094626,no_cache,0.7836520395085732,0.7587336510577128,0.8354055798458506
unknown,1767102282,kv_cache,1.0552688561722843,1.0554302893790315,1.0658042341858835
unknown,1767102282,no_cache,0.8451063766676923,0.8426011721089994,0.8326470227954712
unknown,1767104587,kv_cache,1.088599606784194,1.0860835972080336,1.1116682553819617
unknown,1767104587,no_cache,0.864617776656878,0.8622769627586366,0.8312291316716292
unknown,1767204018,kv_cache,1.7427969713605653,1.7567494554734608,1.937815924259214
unknown,1767204018,no_cache,0.906369094703414,0.8774764712250478,0.940290231385228
unknown,1767240798,kv_cache,1.1678805622554453,1.1738806678277096,1.2146528781537154
unknown,1767240798,no_cache,0.9855344992443665,0.9686202580938187,0.9762896765674055
