prompt_len,speedup_no_cache_predicted,speedup_no_cache_observed
384.0,0.7830651621729204,0.7723819534620056
404.12946385994996,0.7918780197923497,
425.314123853465,0.800690877411779,
447.6092938670971,0.8095037350312083,
471.0731873678143,0.8183165926506376,
495.76706940039713,0.8271294502700669,
521.7554165526069,0.835942307889496,
549.1060853058068,0.8447551655089253,
577.890489210603,0.8535680231283546,
608.1837853501182,0.8623808807477841,
640.0650705777555,0.8711937383672131,
673.6175880418471,0.8800065959866424,
708.9289445364172,0.8888194536060715,
746.0913392455792,0.897632311225501,
785.2018044788234,0.9064451688449303,
826.3624590257606,0.9152580264643596,
869.68077479185,0.9240708840837889,
915.269857411292,0.932883741703218,
963.248741569787,0.9416965993226473,
1013.7427018082547,0.9505094569420766,
1066.8835796190285,0.9593223145615061,
1122.8101276885993,0.9681351721809351,
1181.6683721857173,0.9769480298003644,
1243.6119940408166,0.9857608874197935,
1308.802730212289,0.994573745039223,
1377.41079598732,1.0033866026586522,
1449.6153294199542,1.0121994602780813,
1525.6048590667986,1.0210123178975106,
1605.5777962416657,1.0298251755169399,
1689.7429530744398,1.0386380331363694,
1778.3200877268255,1.0474508907557984,
1871.5404781885982,1.0562637483752277,
1969.6475261524802,1.065076605994657,
2072.8973925444748,1.0738894636140863,
2181.559666368978,1.0827023212335158,
2295.9180686150657,1.091515178852945,
2416.2711930619244,1.1003280364723742,
2542.933285917596,1.1091408940918033,
2676.2350663268194,1.1179537517112326,
2816.5245898902467,1.1267666093306619,
2964.168157449767,1.1355794669500912,
3119.5512715127893,1.1443923245695207,
3283.07964281273,1.1532051821889497,
3455.1802496339174,1.162018039808379,
3636.3024526667778,1.1708308974278083,
3826.919168304285,1.1796437550472374,
4027.5281034431705,1.188456612666667,
4238.653055013982,1.1972694702860962,
4460.845277633175,1.2060823279055253,
4694.684922948136,1.2148951855249546,
4940.7825544333855,1.2237080431443839,
5199.780741593124,1.2325209007638134,
5472.355737732608,1.2413337583832424,
5759.2192456791645,1.2501466160026717,
6061.120276063088,1.2589594736221008,
6378.847103010538,1.26777233124153,
6713.229322354807,1.2765851888609596,
7065.140017739947,1.2853980464803887,
7435.49804027272,1.294210904099818,
7825.270407674797,1.3030237617192473,
8235.474829199862,1.3118366193386768,
8667.182362907957,1.3206494769581059,
9121.520212235422,1.3294623345775352,
9599.674669162503,1.3382751921969647,
10102.89421166299,1.3470880498163937,
10632.49276352383,1.355900907435823,
11189.853125046056,1.3647137650552523,
11776.430583584486,1.3735266226746814,
12393.756713353958,1.382339480294111,
13043.443374422874,1.3911523379135398,
13727.186921336293,1.3999651955329693,
14446.77263235666,1.4087780531523988,
15204.079370887728,1.4175909107718276,
16001.08449125257,1.4264037683912572,
16839.869001634546,1.4352166260106867,
17722.622997662373,1.4440294836301157,
18651.651380826315,1.4528423412495448,
19629.379876656352,1.461655198868974,
20658.361368376118,1.4704680564884036,
21741.282562570133,1.4792809141078327,
22880.97100426863,1.488093771727262,
24080.402459766014,1.4969066293466915,
25342.708686450642,1.5057194869661208,
26671.185609932818,1.5145323445855499,
28069.301929821275,1.5233452022049794,
29540.708176619053,1.5321580598244082,
31089.24624338615,1.5409709174438375,
32718.959417056296,1.549783775063267,
34434.10293560009,1.558596632682696,
36239.15509859993,1.5674094903021254,
38138.8289602468,1.576222347921555,
40138.08463528876,1.5850352055409842,
42242.14225006386,1.5938480631604133,
44456.49557243236,1.6026609207798421,
46786.926356196294,1.611473778399272,
49239.519437459756,1.6202866360187012,
51820.678622349405,1.6290994936381302,
54537.14340757513,1.6379123512575597,
57396.00657749104,1.646725208876989,
60404.73272360308,1.655538066496418,
63571.1777348784,1.6643509241158476,
66903.60930974483,1.6731637817352771,
70410.72854334037,1.681976639354706,
74101.69264637651,1.690789496974135,
77986.13885493495,1.699602354593565,
82074.20959362613,1.7084152122129939,
86376.57895781574,1.7172280698324232,
90904.48058405922,1.7260409274518522,
95669.73698151851,1.7348537850712817,
100684.79040094648,1.743666642690711,
105962.73532183847,1.75247950031014,
111517.35264257394,1.7612923579295696,
117363.14566282375,1.7701052155489987,
123515.37795217217,1.7789180731684278,
129990.11320382933,1.7877309307878573,
136804.25717749423,1.7965437884072863,
143975.6018408838,1.8053566460267159,
151522.8718251824,1.8141695036461454,
159465.77331570553,1.8229823612655744,
167825.04550543832,1.8317952188850035,
176622.51474579272,1.840608076504433,
185881.1515359727,1.849420934123862,
195625.1304997465,1.8582337917432916,
205879.8935062375,1.8670466493627202,
216672.21609952973,1.8758595069821498,
228030.27741054748,1.8846723646015793,
239983.73373375024,1.8934852222210083,
252563.795960754,1.9022980798404379,
265803.3110730557,1.9111109374598674,
279736.8479066494,1.9199237950792964,
294400.7874124647,1.9287366526987255,
309833.4176482989,1.9375495103181555,
326075.0337502678,1.946362367937584,
343168.0431448194,1.9551752255570132,
361157.07627600036,1.9639880831764427,
380089.10313710204,1.9728009407958722,
400013.5559109533,1.9816137984153013,
420982.45803907764,1.9904266560347303,
443050.5600567095,1.9992395136541599,
466275.482548355,2.0080523712735894,
490717.86659715086,2.016865228893018,
516441.5321208468,2.0256780865124475,
543513.6445078362,2.034490944131877,
572004.8899883307,2.043303801751306,
601989.6601985779,2.0521166593707356,
633546.2464200128,2.0609295169901647,
666757.0440005291,2.0697423746095938,
701708.7674916122,2.0785552322290233,
738492.6770630515,2.087368089848453,
777204.8167864317,2.096180947467882,
817946.2654095595,2.104993805087311,
860823.4002765986,2.11380666270674,
905948.1750830238,2.1226195203261695,
953438.4121906303,2.1314323779455986,
1003418.1102658377,2.140245235565028,
1056017.7680445246,2.1490580931844576,
1111374.7250687869,2.1578709508038867,
1169633.5202852802,2.1666838084233158,
1230946.2694414516,2.1754966660427457,
1295473.0622650487,2.1843095236621743,
1363382.3804640132,2.193122381281604,
1434851.5376380843,2.201935238901033,
1510067.1422507924,2.2107480965204624,
1589225.5848706737,2.2195609541398915,
1672533.5509539095,2.2283738117593206,
1760208.5605072454,2.23718666937875,
1852479.5360403294,2.2459995269981796,
1949587.4002903807,2.2548123846176082,
2051785.705279863,2.263625242237038,
2159341.2943496336,2.2724380998564673,
2272534.9988962673,2.2812509574758963,
2391662.371632607,2.290063815095326,
2517034.458286205,2.2988766727147554,
2648978.6097505786,2.307689530334184,
2787839.3368098377,2.3165023879536135,
2933979.209668331,2.325315245573043,
3087779.8046341166,2.334128103192472,
3249642.7004280337,2.342940960811901,
3419990.5267197452,2.3517538184313307,
3599268.0676285406,2.36056667605076,
3787943.423070204,2.3693795336701893,
3986509.2309822477,2.378192391289618,
4195483.953618755,2.387005248909048,
4415413.231273355,2.395818106528477,
4646871.306965176,2.404630964147906,
4890462.525807362,2.413443821767336,
5146822.912973185,2.4222566793867646,
5416621.834380096,2.431069537006194,
5700563.744427429,2.4398823946256236,
5999390.025351361,2.4486952522450527,
6313880.922999932,2.4575081098644818,
6644857.584082097,2.466320967483911,
6993184.200210489,2.475133825103341,
7359770.264335766,2.48394668272277,
7745572.945464613,2.4927595403421985,
8151599.587861344,2.5015723979616284,
8578910.341258828,2.5103852555810575,
9028620.928946631,2.5191981132004866,
9501905.560963374,2.5280109708199165,
10000000.0,2.5368238284393456,
