nembd,speedup_no_cache_predicted,speedup_no_cache_observed
384.0,0.7830651621729204,0.7723819534620056
392.67688617188793,0.7869193177057315,
401.549835764713,0.7907734732385424,
410.62327903885574,0.7946276287713535,
419.9017463611148,0.7984817843041646,
429.3898704667198,0.8023359398369755,
439.0923887724525,0.8061900953697866,
449.0141457420382,0.8100442509025975,
459.1600953049843,0.8138984064354088,
469.53530333007416,0.8177525619682199,
480.1449501547561,0.8216067175010308,
490.99433317168206,0.8254608730338419,
502.08886947369416,0.8293150285666527,
513.4340985585771,0.8331691840994638,
525.0356850949282,0.8370233396322749,
536.8994217505216,0.8408774951650858,
549.0312320845884,0.8447316506978969,
561.4371735054459,0.8485858062307078,
574.1234402949594,0.8524399617635189,
587.0963667013455,0.8562941172963302,
600.3624301018572,0.8601482728291411,
613.9282542369399,0.8640024283619522,
627.80061251746,0.8678565838947631,
641.986431406667,0.8717107394275742,
656.4927938785742,0.8755648949603853,
671.326942954483,0.8794190504931961,
686.4962853194244,0.8832732060260072,
702.008395020311,0.8871273615588181,
717.871017247657,0.8909815170916292,
734.0920722027496,0.8948356726244403,
750.6796590521989,0.8986898281572514,
767.6420599718538,0.9025439836900625,
784.9877442820862,0.9063981392228734,
802.7253726765201,0.9102522947556845,
820.8638015463137,0.9141064502884956,
839.4120874021482,0.9179606058213065,
858.3794913961461,0.9218147613541176,
877.7754839459569,0.9256689168869284,
897.609749463334,0.9295230724197395,
917.8921911895592,0.9333772279525506,
938.6329361401229,0.9372313834853617,
959.8423401611456,0.9410855390181726,
981.5309931000431,0.9449396945509837,
1003.7097240930356,0.9487938500837948,
1026.38960697213,0.9526480056166057,
1049.5819657942816,0.9565021611494168,
1073.298380495488,0.9603563166822279,
1097.5506926726516,0.9642104722150387,
1122.351011496082,0.9680646277478498,
1147.7117197555992,0.9719187832806607,
1173.6454800432593,0.975772938813472,
1200.165241075775,0.9796270943462829,
1227.2842441598134,0.983481249879094,
1255.0160298033709,0.9873354054119049,
1283.3744444765439,0.991189560944716,
1312.3736475250666,0.9950437164775271,
1342.0281182400686,0.9988978720103382,
1372.3526630875735,1.002752027543149,
1403.3624231013703,1.00660618307596,
1435.0728814429206,1.010460338608771,
1467.4998711320957,1.014314494141582,
1500.6595829526004,1.0181686496743931,
1534.568573536018,1.0220228052072042,
1569.2437736285397,1.025876960740015,
1604.7024965444734,1.0297311162728262,
1640.962446810777,1.0335852718056373,
1678.0417290069236,1.0374394273384484,
1715.958856804504,1.0412935828712595,
1754.7327622111068,1.0451477384040704,
1794.3828050230547,1.0490018939368815,
1834.9287824917471,1.0528560494696924,
1876.3909392084197,1.0567102050025035,
1918.789977212256,1.0605643605353146,
1962.1470663269174,1.0644185160681254,
2006.4838547306213,1.0682726716009365,
2051.82247976507,1.0721268271337474,
2098.1855789886195,1.0759809826665587,
2145.596301479194,1.0798351381993698,
2194.0783193926277,1.0836892937321807,
2243.6558397821505,1.0875434492649918,
2294.353616684966,1.0913976047978027,
2346.1969634819334,1.0952517603306138,
2399.211765536521,1.0991059158634249,
2453.4244931193707,1.1029600713962358,
2508.862214624887,1.1068142269290469,
2565.552610086477,1.1106683824618577,
2623.523984997183,1.114522537994669,
2682.8052844425947,1.1183766935274801,
2743.4261075531354,1.122230849060291,
2805.416722282885,1.1260850045931021,
2868.808080522362,1.129939160125913,
2933.6318335527935,1.133793315658724,
2999.920347849572,1.137647471191535,
3067.7067212428587,1.141501626724346,
3137.024799443274,1.1453557822571572,
3207.9091929410824,1.1492099377899683,
3280.3952942871856,1.1530640933227794,
3354.5192957645945,1.15691824885559,
3430.318207459261,1.1607724043884011,
3507.8298757391526,1.1646265599212122,
3587.0930021509653,1.1684807154540233,
3668.147162743776,1.1723348709868344,
3751.0328278293514,1.1761890265196453,
3835.791382188964,1.1800431820524564,
3922.4651457367813,1.1838973375852675,
4011.0973946502068,1.1877514931180786,
4101.732382977648,1.1916056486508897,
4194.4153647345265,1.1954598041837003,
4289.192616498643,1.1993139597165114,
4386.111460515987,1.2031681152493225,
4485.220288328774,1.2070222707821336,
4586.56858493729,1.2108764263149447,
4690.206953507753,1.2147305818477556,
4796.187140638444,1.2185847373805667,
4904.562062196756,1.2224388929133778,
5015.385829740091,1.226293048446189,
5128.713777533721,1.2301472039789996,
5244.602490179172,1.2340013595118107,
5363.109830866896,1.2378555150446218,
5484.294970267324,1.2417096705774329,
5608.218416074789,1.245563826110244,
5734.942043218971,1.249417981643055,
5864.529124759036,1.2532721371758662,
5997.044363475852,1.257126292708677,
6132.553924178037,1.260980448241488,
6271.125466738087,1.264834603774299,
6412.82817987484,1.2686887593071101,
6557.732815699445,1.272542914839921,
6705.911725041842,1.276397070372732,
6857.4388935754705,1.2802512259055432,
7012.38997875837,1.2841053814383543,
7170.842347608821,1.2879595369711654,
7332.875115334744,1.291813692503976,
7498.569184835867,1.2956678480367874,
7668.00728709848,1.2995220035695982,
7841.274022503071,1.3033761591024093,
8018.455903065155,1.3072303146352204,
8199.641395630775,1.3110844701680313,
8384.92096604794,1.3149386257008424,
8574.387124336143,1.3187927812336535,
8768.134470876686,1.3226469367664646,
8966.259743646486,1.3265010922992757,
9168.861866519404,1.3303552478320864,
9376.041998658871,1.3342094033648977,
9587.903585026575,1.3380635588977086,
9804.552408032603,1.3419177144305197,
10026.096640352405,1.3457718699633308,
10252.646898937532,1.3496260254961416,
10484.316300246499,1.3534801810289527,
10721.22051672385,1.3573343365617636,
10963.477834555428,1.361188492094575,
11211.209212728469,1.3650426476273856,
11464.538343426568,1.3688968031601967,
