gen_tokens,speedup_kv_cache_predicted,speedup_kv_cache_observed
128.0,1.0240651918366919,1.1117696398065378
133.89727191778223,1.031815997918552,
140.06624552362905,1.0396254672529053,
146.51943877640787,1.0474940438422415,
153.26994636785574,1.0554221750495556,
160.3314662940678,1.0634103116237827,
167.7183276511995,1.071458907725427,
175.44551971178404,1.0795684209523795,
183.52872234066697,1.0877393123659371,
191.9843378122769,1.0959720465170149,
200.82952409379513,1.104267091472558,
210.08222966176342,1.1126249188421544,
219.7612299227741,1.1210460038048446,
229.88616531215584,1.1295308251361422,
240.47758114795292,1.138079865235251,
251.5569693210781,1.1466936101524932,
263.1468119062313,1.155372549616942,
275.27062678207926,1.1641171770642667,
287.9530153532689,1.1729279896647855,
301.2197124711092,1.1818054883517315,
315.097638654221,1.1907501778497345,
329.6149547151197,1.199762566703515,
344.80111890357705,1.2088431673067983,
360.6869466827174,1.2179924959314454,
377.30467325914407,1.227211072756807,
394.6880189939812,1.2364994218992962,
412.8722578275618,1.2458580714421874,
431.8942888566073,1.2552875534656407,
451.7927112091433,1.2647884040769524,
472.6079023690838,1.2743611634410348,
494.38210010942106,1.284006375811128,
517.159488200276,1.2937245895597411,
540.9862860657307,1.303516357209833,
565.910842571361,1.3133822354662212,
591.9837341328035,1.3233227852472373,
619.2578673444065,1.3333385717166144,
647.7885863362494,1.3434301643156212,
677.633785077348,1.3535981367954357,
708.8540248529506,1.363843067249767,
741.5126571542961,1.3741655381477211,
775.6759522302034,1.3845661363669175,
811.4132335613454,1.3950454532268555,
848.7970185300813,1.405604084522534,
887.9031655712903,1.4162426305583236,
928.8110281028023,1.4269616961820981,
971.6036155477798,1.437761890819622,
1016.3677617757924,1.4486438285091987,
1063.1943013043829,1.4596081279365816,
1112.1782536186677,1.4706554124701499,
1163.4190159829916,1.481786310196348,
1217.020565135885,1.493001453955397,
1273.0916682775985,1.504301481377273,
1331.7461037783473,1.515687034917959,
1393.1028920551298,1.5271587618959739,
1457.2865370855811,1.5387173145291702,
1524.4272790489963,1.550363349971822,
1594.661358607095,1.562097530351981,
1668.1312933608945,1.573920522809127,
1744.986167044572,1.5858329995320914,
1825.3819320432474,1.5978356377972809,
1909.4817258484486,1.6099291200071777,
1997.4562020934832,1.622114133729141,
2089.4838768404043,1.6343913717344962,
2185.751490821261,1.6467615320379227,
2286.45438836869,1.6592253179371392,
2391.7969138047574,1.6717834380528886,
2501.992826092406,1.6844366063692269,
2617.2657325909017,1.6971855422741162,
2737.8495427954495,1.7100309706003247,
2863.9889429817035,1.7229736216666363,
2995.9398927183042,1.7360142313193738,
3133.9701442549513,1.7491535409742331,
3278.3597858399753,1.7623922976584385,
3429.4018100698213,1.775731254053211,
3587.402708423859,1.789171168536565,
3752.6830931907616,1.8027128052264223,
3925.5783480486566,1.8163569340240586,
4106.439308618976,1.8301043306578724,
4295.632974375198,1.843955776727493,
