run_id,engine,mode,prompt_id,prompt_len,gen_tokens,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1,384,256,0.0000,0.0000,87.5623,30291.8885,8.4181,8.4181,30379.4508,120.4034,147.6021,96040.0000,96156.0000
2,nano,kv_cache,p1,384,256,5309.1448,0.0000,16.6631,4677.6822,54.5142,54.5142,10003.4900,18.3646,20.1075,96160.0000,106220.0000
3,nano,no_cache,p1,384,256,0.0000,0.0000,94.8604,30310.3552,8.4130,8.4130,30405.2156,120.3313,143.7006,95212.0000,95220.0000
4,nano,kv_cache,p1,384,256,5060.3617,0.0000,14.4598,4268.2232,59.7438,59.7438,9343.0447,16.6954,18.4958,95224.0000,106324.0000
5,nano,no_cache,p1,384,256,0.0000,0.0000,87.2480,30453.9052,8.3733,8.3733,30541.1532,121.5883,148.9444,94276.0000,94288.0000
6,nano,kv_cache,p1,384,256,5278.9728,0.0000,14.8397,4471.9927,57.0216,57.0216,9765.8053,17.4878,19.6676,94288.0000,106028.0000
7,nano,no_cache,p2,384,256,0.0000,0.0000,112.5975,30461.3103,8.3713,8.3713,30573.9078,120.9782,144.6478,87608.0000,93620.0000
8,nano,kv_cache,p2,384,256,5144.0633,0.0000,14.8142,4253.6885,59.9480,59.9480,9412.5661,16.6071,18.8670,93620.0000,106060.0000
9,nano,no_cache,p2,384,256,0.0000,0.0000,87.5950,30145.5281,8.4590,8.4590,30233.1232,117.4066,146.2407,87620.0000,93648.0000
10,nano,kv_cache,p2,384,256,5218.0793,0.0000,14.9293,4391.3041,58.0693,58.0693,9624.3127,16.6405,20.1837,93648.0000,106748.0000
11,nano,no_cache,p2,384,256,0.0000,0.0000,88.2542,30261.0378,8.4267,8.4267,30349.2920,120.9332,146.0220,87640.0000,93664.0000
12,nano,kv_cache,p2,384,256,5066.6195,0.0000,13.1029,4404.5459,57.8947,57.8947,9484.2683,18.0424,19.4691,93664.0000,106380.0000
13,nano,no_cache,p3,384,256,0.0000,0.0000,88.5079,30569.2795,8.3417,8.3417,30657.7875,123.0711,148.8897,90032.0000,96056.0000
14,nano,kv_cache,p3,384,256,5429.6214,0.0000,18.1522,4617.2466,55.2277,55.2277,10065.0202,18.3508,20.3257,96060.0000,108584.0000
15,nano,no_cache,p3,384,256,0.0000,0.0000,91.5994,30867.7795,8.2610,8.2610,30959.3789,121.1536,148.4575,91968.0000,96060.0000
16,nano,kv_cache,p3,384,256,5198.3668,0.0000,15.0129,4361.5424,58.4656,58.4656,9574.9221,17.1860,19.4005,96060.0000,109136.0000
17,nano,no_cache,p3,384,256,0.0000,0.0000,91.5545,30296.4734,8.4168,8.4168,30388.0279,120.0870,142.7274,96756.0000,96756.0000
18,nano,kv_cache,p3,384,256,5132.8138,0.0000,15.1450,4359.1635,58.4975,58.4975,9507.1223,16.7746,20.3350,96756.0000,109672.0000
19,tau,no_cache,p1,384,256,0.0000,0.0000,139.6565,43435.9911,5.8707,5.8707,43575.6476,165.5601,219.6482,92564.0000,92572.0000
20,tau,kv_cache,p1,384,256,4856.1061,0.0000,12.1896,3580.1093,71.2269,71.2269,8448.4050,14.0186,15.4331,92572.0000,92576.0000
21,tau,no_cache,p1,384,256,0.0000,0.0000,130.4649,43640.6608,5.8432,5.8432,43771.1257,171.2980,223.7723,92576.0000,92576.0000
22,tau,kv_cache,p1,384,256,4807.6480,0.0000,12.0131,3470.0760,73.4854,73.4854,8289.7371,13.7341,15.6113,92580.0000,92580.0000
23,tau,no_cache,p1,384,256,0.0000,0.0000,124.7662,42659.3619,5.9776,5.9776,42784.1281,168.9380,196.9424,92580.0000,92580.0000
24,tau,kv_cache,p1,384,256,4694.1237,0.0000,12.4255,3655.6267,69.7555,69.7555,8362.1759,14.6380,15.9112,92580.0000,92580.0000
25,tau,no_cache,p2,384,256,0.0000,0.0000,131.2756,43672.0251,5.8390,5.8390,43803.3007,175.6419,216.1896,92584.0000,92584.0000
26,tau,kv_cache,p2,384,256,5132.2599,0.0000,13.9191,3862.9227,66.0122,66.0122,9009.1017,15.0968,16.2857,92584.0000,92588.0000
27,tau,no_cache,p2,384,256,0.0000,0.0000,122.7984,44315.5140,5.7542,5.7542,44438.3123,174.0581,223.3175,92588.0000,92592.0000
28,tau,kv_cache,p2,384,256,5061.0436,0.0000,12.4559,3497.9968,72.8989,72.8989,8571.4963,13.5462,14.9871,92600.0000,92600.0000
29,tau,no_cache,p2,384,256,0.0000,0.0000,128.2896,43057.5858,5.9223,5.9223,43185.8754,167.7054,214.0295,92600.0000,92600.0000
30,tau,kv_cache,p2,384,256,4764.2122,0.0000,12.4536,3467.5824,73.5383,73.5383,8244.2482,13.5804,14.4205,92600.0000,92604.0000
31,tau,no_cache,p3,384,256,0.0000,0.0000,138.9864,43076.6166,5.9197,5.9197,43215.6030,165.7801,222.3556,92604.0000,92604.0000
32,tau,kv_cache,p3,384,256,4813.4627,0.0000,11.8005,3394.5151,75.1212,75.1212,8219.7784,13.1506,14.8481,92604.0000,92604.0000
33,tau,no_cache,p3,384,256,0.0000,0.0000,124.2214,43770.8814,5.8258,5.8258,43895.1028,171.1681,220.0503,92604.0000,92604.0000
34,tau,kv_cache,p3,384,256,4702.4116,0.0000,12.9770,3679.1492,69.3095,69.3095,8394.5379,14.4812,16.0967,92604.0000,92604.0000
35,tau,no_cache,p3,384,256,0.0000,0.0000,140.5901,44168.7373,5.7733,5.7733,44309.3274,173.7904,214.9713,92604.0000,92604.0000
36,tau,kv_cache,p3,384,256,4704.5417,0.0000,11.5733,3666.7206,69.5444,69.5444,8382.8356,14.2754,16.3411,92604.0000,92604.0000
