run_id,engine,mode,prompt_id,token_index,token_ms
1,nano,no_cache,p1,0,87.562301
1,nano,no_cache,p1,1,92.746771
1,nano,no_cache,p1,2,92.900188
1,nano,no_cache,p1,3,94.290513
1,nano,no_cache,p1,4,91.936651
1,nano,no_cache,p1,5,92.246164
1,nano,no_cache,p1,6,90.529236
1,nano,no_cache,p1,7,92.476367
1,nano,no_cache,p1,8,92.868648
1,nano,no_cache,p1,9,94.975326
1,nano,no_cache,p1,10,94.362240
1,nano,no_cache,p1,11,93.953805
1,nano,no_cache,p1,12,94.290435
1,nano,no_cache,p1,13,93.581981
1,nano,no_cache,p1,14,95.583390
1,nano,no_cache,p1,15,93.682558
1,nano,no_cache,p1,16,96.859729
1,nano,no_cache,p1,17,96.274762
1,nano,no_cache,p1,18,95.569646
1,nano,no_cache,p1,19,94.457909
1,nano,no_cache,p1,20,98.567314
1,nano,no_cache,p1,21,96.094354
1,nano,no_cache,p1,22,95.831171
1,nano,no_cache,p1,23,94.847863
1,nano,no_cache,p1,24,96.532866
1,nano,no_cache,p1,25,100.789375
1,nano,no_cache,p1,26,100.231726
1,nano,no_cache,p1,27,97.377748
1,nano,no_cache,p1,28,99.766467
1,nano,no_cache,p1,29,97.469965
1,nano,no_cache,p1,30,97.271874
1,nano,no_cache,p1,31,95.756039
1,nano,no_cache,p1,32,95.404739
1,nano,no_cache,p1,33,95.441439
1,nano,no_cache,p1,34,95.107944
1,nano,no_cache,p1,35,98.455642
1,nano,no_cache,p1,36,95.605729
1,nano,no_cache,p1,37,96.627589
1,nano,no_cache,p1,38,97.509206
1,nano,no_cache,p1,39,97.659174
1,nano,no_cache,p1,40,96.058553
1,nano,no_cache,p1,41,95.958177
1,nano,no_cache,p1,42,97.275982
1,nano,no_cache,p1,43,97.826721
1,nano,no_cache,p1,44,99.099798
1,nano,no_cache,p1,45,98.937421
1,nano,no_cache,p1,46,100.613238
1,nano,no_cache,p1,47,100.195851
1,nano,no_cache,p1,48,99.551786
1,nano,no_cache,p1,49,99.702865
1,nano,no_cache,p1,50,97.739920
1,nano,no_cache,p1,51,101.049985
1,nano,no_cache,p1,52,98.363404
1,nano,no_cache,p1,53,101.115097
1,nano,no_cache,p1,54,99.988385
1,nano,no_cache,p1,55,101.448774
1,nano,no_cache,p1,56,100.249675
1,nano,no_cache,p1,57,102.681476
1,nano,no_cache,p1,58,103.287265
1,nano,no_cache,p1,59,101.464383
1,nano,no_cache,p1,60,102.018975
1,nano,no_cache,p1,61,102.645710
1,nano,no_cache,p1,62,102.370875
1,nano,no_cache,p1,63,102.009556
