mode,gen_tokens,pairs,speedup_mean,speedup_p10,speedup_p50,speedup_p90,speedup_p95,speedup_p99
kv_cache,128,13824,1.8542787513813639,0.24538664442690133,1.0771897008129332,5.033155736034276,5.2638284432743205,5.526641836680886
kv_cache,256,27648,1.932077277897524,0.25559177678926837,1.1295546382479904,5.269189819374633,5.444010992104515,5.75186149899256
kv_cache,512,26112,1.633527097041528,0.2759363025866072,1.219135965438039,4.736121619006155,6.463115490834185,6.708406467314118
kv_cache,1024,27648,1.3353582686162284,1.1190997062136872,1.3238515256792764,1.5659016093199614,1.6245874089517738,1.732209301491484
kv_cache,2048,12288,1.7205877881787928,1.3919477386501473,1.7532295671852545,1.9803998726097212,2.036194800727827,2.1384490873855007
no_cache,128,13824,0.9987446293143736,0.2800484291723514,0.7618605868864844,2.1923872630465415,2.232211230224264,2.3640567918960156
no_cache,256,27648,1.0361501938750775,0.25744536854636185,0.7608814483973058,2.3081092996496473,2.654155062467261,2.839378939661943
no_cache,512,26112,0.9487029958260121,0.4406704961914801,0.7602391663950028,2.213930502892916,2.4792558712375863,2.580447577035878
no_cache,1024,27648,0.7691391042048614,0.6749025742062984,0.7742328601979802,0.8385433838229772,0.8478140893045819,0.8738157990001995
no_cache,2048,12288,0.8861405342746279,0.8197439238074791,0.886381345381873,0.9444545411207107,0.9576902880276398,1.0360963410208475
