device,variant,engine,mode,prompt_len,gen_tokens,prefill_ms__mean,prefill_ms__std,prefill_ms__count,prime_ms__mean,prime_ms__std,prime_ms__count,ttft_ms__mean,ttft_ms__std,ttft_ms__count,decode_total_ms__mean,decode_total_ms__std,decode_total_ms__count,tokens_per_sec__mean,tokens_per_sec__std,tokens_per_sec__count,p50_token_ms__mean,p50_token_ms__std,p50_token_ms__count,p95_token_ms__mean,p95_token_ms__std,p95_token_ms__count,rss_before_mb__mean,rss_before_mb__std,rss_before_mb__count,rss_after_mb__mean,rss_after_mb__std,rss_after_mb__count,rss_delta_mb__mean,rss_delta_mb__std,rss_delta_mb__count,total_ms__mean,total_ms__std,total_ms__count,prefill_share__mean,prefill_share__std,prefill_share__count,decode_share__mean,decode_share__std,decode_share__count
unknown,1767066084,nano,kv_cache,384,128,5234.850944444444,186.68949425628574,9,0.0,0.0,9,16.942344444444444,1.1037870663211171,9,2122.4680777777776,103.34122751934198,9,59.959599999999995,2.8574331483868503,9,16.719366666666666,0.835406410078353,9,18.1911,0.962465487692936,9,90404.88888888889,63.83659695747233,9,97616.0,324.98615355119307,9,7211.111111111111,316.3844356334728,9,7357.319022222222,226.0544987686471,9,0.7114995210086662,0.011435787260291264,9,0.28850047899133374,0.011435787260291276,9
unknown,1767066084,nano,no_cache,384,128,0.0,0.0,9,0.0,0.0,9,92.5781,5.910049803935666,9,13078.624811111113,96.12907438494399,9,9.710966666666668,0.07101332621416916,9,102.7739888888889,1.0114710048296522,9,115.05917777777778,1.1714274377631984,9,85908.0,1462.5949541824612,9,90403.11111111111,62.82603848016391,9,4495.111111111111,1504.192511319981,9,13078.624811111113,96.12907438494399,9,0.0,0.0,9,1.0,0.0,9
unknown,1767066084,tau,kv_cache,384,128,4956.601733333333,130.042984254015,9,0.0,0.0,9,13.419166666666667,0.9226159832237895,9,1814.7463333333335,58.42628576929222,9,70.04793333333333,2.297308850046071,9,14.22081111111111,0.5027750178868386,9,15.570133333333334,0.4145758012716128,9,86584.44444444444,799.8510972535955,9,86776.88888888889,879.9426749005346,9,192.44444444444446,384.5123896284459,9,6771.348066666666,174.27510123034656,9,0.7320026354877096,0.004829755188035211,9,0.26799736451229034,0.004829755188035213,9
unknown,1767066084,tau,no_cache,384,128,0.0,0.0,9,0.0,0.0,9,125.71326666666667,6.834499004499161,9,18390.10578888889,311.36924592718964,9,6.907666666666667,0.11785300165884609,9,143.44175555555555,2.7238819018595044,9,166.69363333333334,5.645318987887224,9,86581.33333333333,801.1042379116471,9,86582.22222222222,801.6161453242113,9,0.8888888888888888,1.7638342073763937,9,18390.10578888889,311.36924592718964,9,0.0,0.0,9,1.0,0.0,9
unknown,1767089337,nano,kv_cache,384,256,5204.227044444445,120.40354418445398,9,0.0,0.0,9,15.235455555555555,1.42216932282263,9,4422.821011111111,144.40148977443445,9,57.709155555555554,1.8489227844282132,9,17.349911111111112,0.7391881787549851,9,19.650211111111112,0.6576937441629749,9,95053.33333333333,1261.2026006950678,9,107239.11111111111,1459.3762746841944,9,12185.777777777777,1031.8819915302543,9,9627.048055555555,252.50381506601107,9,0.5406382526220377,0.004723233356031683,9,0.4593617473779623,0.004723233356031704,9
unknown,1767089337,nano,no_cache,384,256,0.0,0.0,9,0.0,0.0,9,92.19768888888888,8.064975257935458,9,30406.395277777778,214.55719559077832,9,8.386766666666666,0.058793196885354046,9,120.66141111111112,1.507542886159832,9,146.35913333333332,2.3007909998520133,9,91905.77777777778,3803.223428152024,9,95052.0,1260.298377369423,9,3146.222222222222,3015.1239517546283,9,30406.395277777778,214.55719559077832,9,0.0,0.0,9,1.0,0.0,9
unknown,1767089337,tau,kv_cache,384,256,4837.312166666667,158.32111090012577,9,0.0,0.0,9,12.423066666666665,0.6963517519903286,9,3586.077644444444,145.18670128740365,9,71.21025555555555,2.8343296919691205,9,14.057922222222222,0.6186422346109618,9,15.548311111111111,0.6799933757847282,9,92592.0,12.806248474865448,9,92593.33333333333,12.16552506059659,9,1.3333333333333333,2.0,9,8423.389811111112,239.72167868536826,9,0.5742996929032347,0.011116042329752846,9,0.4257003070967654,0.011116042329752848,9
unknown,1767089337,tau,no_cache,384,256,0.0,0.0,9,0.0,0.0,9,131.22767777777779,6.9821696052834765,9,43533.04155555556,537.4657165608484,9,5.858422222222222,0.07243155006241717,9,170.4377888888889,3.672600818372599,9,216.80852222222222,8.263989536201294,9,92589.33333333333,14.560219778562848,9,92590.66666666667,12.961481396814598,9,1.3333333333333333,2.8284271247461903,9,43533.04155555556,537.4657165608484,9,0.0,0.0,9,1.0,0.0,9
unknown,1767090496,nano,kv_cache,384,512,5278.916477777778,183.58665826690523,9,0.0,0.0,9,15.287077777777776,0.8967465803918317,9,9673.373855555556,178.0424050034787,9,52.84162222222222,0.9910689932817212,9,19.115866666666665,0.42618181272785466,9,21.702655555555555,0.4012149458554344,9,104972.44444444444,31.076965388822586,9,116254.66666666667,928.6506339845947,9,11282.222222222223,920.9171756702356,9,14952.290333333334,270.0546253535106,9,0.3530058729615704,0.00851372186942365,9,0.6469941270384296,0.00851372186942366,9
unknown,1767090496,nano,no_cache,384,512,0.0,0.0,9,0.0,0.0,9,95.33965555555557,7.886427467825832,9,79633.5158888889,359.9168667008129,9,6.417011111111111,0.028932051622916535,9,155.18077777777776,2.018208441153792,9,222.1352,1.1603987989049334,9,96284.88888888889,3897.090595702277,9,104969.77777777778,34.76268753195959,9,8684.888888888889,3899.2634062231696,9,79633.5158888889,359.9168667008129,9,0.0,0.0,9,1.0,0.0,9
unknown,1767090496,tau,kv_cache,384,512,4853.351144444445,228.75195411958276,9,0.0,0.0,9,13.52971111111111,1.048975461396076,9,7587.977777777778,221.42270479373713,9,67.39443333333332,1.969022258634981,9,14.90112222222222,0.503449996965383,9,16.5593,0.549596208593182,9,95321.33333333333,319.02351010544754,9,97974.22222222222,1030.6039221953536,9,2652.8888888888887,810.1623979864229,9,12441.328922222221,175.01344899919647,9,0.3900706055300971,0.01692640565417954,9,0.6099293944699029,0.016926405654179542,9
unknown,1767090496,tau,no_cache,384,512,0.0,0.0,9,0.0,0.0,9,130.48625555555554,7.87780006650193,9,108950.63987777778,1047.066023764998,9,4.690588888888889,0.0452342360509284,9,212.48977777777776,4.259684328908009,9,304.29892222222225,11.130140834101994,9,83526.22222222222,767.1743246775438,9,95321.33333333333,319.02351010544754,9,11795.111111111111,448.1686190610752,9,108950.63987777778,1047.066023764998,9,0.0,0.0,9,1.0,0.0,9
unknown,1767094626,nano,kv_cache,384,1024,5211.235966666666,220.00313679245608,9,0.0,0.0,9,15.500711111111109,0.822650552246281,9,21423.4752,795.4749258652754,9,47.811611111111105,1.8270103820479806,9,20.51858888888889,1.033543843342463,9,25.985555555555557,0.9742560085920825,9,131980.0,38.78143885932913,9,139200.88888888888,1849.2136466917773,9,7220.888888888889,1833.0169423960901,9,26634.711166666664,911.785878510037,9,0.19570499850402034,0.006681178430541465,9,0.8042950014959795,0.0066811784305415385,9
unknown,1767094626,nano,no_cache,384,1024,0.0,0.0,9,0.0,0.0,9,95.2500888888889,8.589459764508536,9,253942.11601111112,1249.599438145635,9,4.028577777777778,0.019784449561320604,9,235.90404444444442,2.7813510948418196,9,431.71596666666665,1.7063343876567558,9,104662.66666666667,82.21921916437611,9,131976.88888888888,41.60662340434544,9,27314.222222222223,49.72368092211674,9,253942.11601111112,1249.599438145635,9,0.0,0.0,9,1.0,0.0,9
