device,variant,engine,prompt_len,gen_tokens,tokens_per_sec_gain_kv_over_no_cache,ttft_ms_gain_kv_over_no_cache,p50_token_ms_gain_kv_over_no_cache,p95_token_ms_gain_kv_over_no_cache,decode_total_ms_gain_kv_over_no_cache,total_ms_gain_kv_over_no_cache,rss_delta_mb_ratio_kv_over_no_cache,rss_delta_mb_increase_frac_kv_vs_no_cache,rss_after_mb_ratio_kv_over_no_cache,rss_after_mb_increase_frac_kv_vs_no_cache
unknown,1767066084,nano,384,128,6.174421358670093,5.464302789001391,6.147002511392311,6.325025852080291,6.161988935449348,1.777634593743743,1.6042119833893613,0.6042119833893613,1.0797858480779914,0.07978584807799138
unknown,1767066084,tau,384,128,10.140607054963084,9.368187294292989,10.086749232150376,10.705986247174076,10.13370599025257,2.7158706963267645,216.50000000000003,215.50000000000003,1.0022483445408348,0.002248344540834779
unknown,1767089337,nano,384,256,6.880977836777251,6.051521633382949,6.954583821114678,7.448221930327013,6.87488713682741,3.1584339355438167,3.8731459245656166,2.8731459245656166,1.1282151991658367,0.12821519916583668
unknown,1767089337,tau,384,256,12.15519347264527,10.56322736558159,12.123967268752375,13.944184720312602,12.139458726722497,5.1681143259133115,1.0,0.0,1.0000288005990523,2.8800599052303255e-05
unknown,1767090496,nano,384,512,8.234615977324161,6.236617419069266,8.117904381932867,10.235392596604921,8.232238004856418,5.325840664781694,1.2990635074970576,0.29906350749705757,1.1075060758228823,0.1075060758228823
unknown,1767090496,tau,384,512,14.368011123929001,9.644422891512836,14.25998489300955,18.376315558158996,14.358323530789933,8.75715452576568,0.224914277101624,-0.775085722898376,1.02783100903144,0.02783100903143998
unknown,1767094626,nano,384,1024,11.868111712983904,6.144885109213629,11.497089089405648,16.61369008423483,11.853451115676654,9.534254545584096,0.26436370144979415,-0.7356362985502058,1.054736856284602,0.05473685628460201
unknown,1767094626,tau,384,1024,20.187609105755154,9.16473068967439,19.783118937179765,28.317663637304378,20.15125620748075,15.547156876914215,0.0,-1.0,1.0000183726262566,1.8372626256590863e-05
unknown,1767102282,nano,384,128,4.427327829016402,3.9850160845286284,4.398518862218182,4.727086743106959,4.4267146017437105,1.1536020349704037,1.8497854077253217,0.8497854077253217,1.0008149047381956,0.0008149047381955654
unknown,1767102282,tau,384,128,5.527593782925096,4.974425923110569,5.496365602929133,6.033481246042405,5.527626691200744,1.3953475295720452,146.0,145.0,1.0002792942912624,0.0002792942912623886
unknown,1767104587,nano,384,256,5.544268261903392,4.061577958113269,5.047572422248844,7.197226516657325,5.543472014500714,2.337762179816498,-1.0383929263941674,-2.0383929263941676,1.0258364086369574,0.025836408636957353
unknown,1767104587,tau,384,256,6.983375926333741,4.950141446403824,6.395392780501985,9.544742614399036,6.98038224368879,2.8331826374474427,-0.9999223843526853,-1.9999223843526854,1.0255178137435303,0.02551781374353035
unknown,1767204018,nano,768,2048,22.9349969438465,11.720234827666529,19.37803880618023,33.53856763081493,22.93798217294605,19.532669561211122,2.9094210346008906,1.9094210346008906,1.322828918037403,0.3228289180374031
unknown,1767204018,nano,1152,2048,27.496283013934026,13.129338252674636,24.696211925498954,39.9233857495775,27.495317742745296,21.879400111675412,-3.4706656346749223,-4.470665634674923,1.2249905927802724,0.22499059278027245
unknown,1767204018,tau,768,2048,43.00749185667753,18.73238502261671,38.27825497436303,67.81733126879993,43.00240151113697,34.398770738005275,2.9259052924791087,1.9259052924791087,1.099116572059201,0.0991165720592011
unknown,1767204018,tau,1152,2048,54.161912167969554,23.37457659137116,49.396547934292734,82.00296543174173,54.154053825194744,39.323612518078946,20164.0,20163.0,1.0914924467054994,0.09149244670549939
