engine,mode,prompt_id,run_id,gen_tokens,token_ms_mean,token_ms_p50,token_ms_p95,token_ms_p99,token_ms_std,slope_ms_per_relpos,cluster,pca1,pca2
nano,kv_cache,p1,2,128,43.7980294296875,43.7732215,73.223944,74.3761108,27.748985567980064,2.178939666727726,2,-1.3087861157778686,-0.023653610561564932
nano,kv_cache,p1,2,256,44.942919263671875,44.1975365,74.2821973,75.70794834,26.689013879218795,4.76367225502409,2,-1.3069243163547453,-0.026599758131690368
nano,kv_cache,p1,2,512,18.74911186328125,19.101318499999998,22.041444499999997,22.966744679999998,2.060925560638032,4.681379467847701,2,-1.4800883205501438,-0.06290166239827988
nano,kv_cache,p1,2,1024,21.060096388671877,20.949826,26.0705617,27.01794907,3.2003739609976734,10.28692237623061,2,-1.464202930254518,-0.05729017622215825
nano,kv_cache,p1,4,128,43.27911986328125,42.715377000000004,70.89461575,71.81220454999999,26.313967139607612,2.311246683940717,2,-1.3168592253079827,-0.027020276663447175
nano,kv_cache,p1,4,256,44.65611102929687,43.6441175,75.8079513,77.75890050999999,28.014407252053523,5.022178286518683,2,-1.3016680179047888,-0.020735389239517708
nano,kv_cache,p1,4,512,19.17544093359375,19.5343575,22.3076766,22.87421677,2.176953337537395,6.491060415788327,2,-1.4774938213013815,-0.06141060293004797
nano,kv_cache,p1,4,1024,21.8606610234375,21.657166500000002,27.47996835,28.25826085,2.925716013461245,9.254648432770189,2,-1.4629488982050227,-0.06106480943630825
nano,kv_cache,p1,6,128,43.8176476953125,43.270647999999994,71.293418,72.68890049999999,25.758081289729144,3.0035757696392915,2,-1.316169273505988,-0.02955464756089453
nano,kv_cache,p1,6,256,44.38795005078125,42.9078365,75.33940015,76.41887967999999,26.997984871526985,6.657169383199851,2,-1.3050779989512795,-0.021748794820349953
nano,kv_cache,p1,6,512,18.708932724609376,18.9570415,21.61627965,22.548982679999998,1.9439998043724556,5.426085278287055,2,-1.4804707040454204,-0.06231268635272561
nano,kv_cache,p1,6,1024,19.428432686523436,18.528817,24.32650925,25.099015339999998,3.049355542060854,10.16872530797511,2,-1.4702992692169454,-0.05373547191099764
nano,kv_cache,p1_L1152,15,512,192.62861182617186,192.5972085,202.60165924999998,205.21026697,6.101934852929972,20.074198770098697,2,-0.9497388920791732,-0.3933427266837969
nano,kv_cache,p1_L1152,15,2048,40.828456979980466,41.5457385,53.74876335,54.75495712,9.251869524244222,31.677296837448786,2,-1.3637043620590603,-0.05509676371620559
nano,kv_cache,p1_L768,3,512,172.7746934375,173.34643,184.23827145,187.87766744,7.435088835417211,23.94323197175588,2,-0.9970076533882709,-0.3439317114202924
nano,kv_cache,p1_L768,3,2048,35.006789962402344,34.9903275,49.708315549999995,51.53267909,9.124386388910095,31.086879289414696,2,-1.3792629172250148,-0.043669525084713376
nano,kv_cache,p2,8,128,43.4225011640625,42.83319350000001,71.0049655,72.40030915,26.00103756340252,2.2481348372093466,2,-1.3171449555272354,-0.028572861858638148
nano,kv_cache,p2,8,256,43.2598868203125,41.876431999999994,73.8854281,75.79206858,26.72392907653197,6.730526988235337,2,-1.3088301477612458,-0.020475346639986656
nano,kv_cache,p2,8,512,19.219057919921877,19.4494715,21.531907450000002,21.996817410000002,1.5932014733700308,4.4510430876506355,2,-1.4817427219734403,-0.06558226992045696
nano,kv_cache,p2,8,1024,20.950832318359375,20.945634,25.55428485,26.40647327,2.8090291967870504,8.838128946713404,2,-1.467197529566532,-0.060107141449191055
nano,kv_cache,p2,10,128,43.50410067578125,43.087541,71.635017,72.82169515,26.295043596658935,2.873370322468441,2,-1.3149275479855733,-0.027226624695851416
nano,kv_cache,p2,10,256,44.83947717773437,44.3164125,75.2296187,76.51816929,27.72815446951713,6.242456589013527,2,-1.3018241847495813,-0.02128001190143565
nano,kv_cache,p2,10,512,18.17615502734375,18.10668,21.5491143,22.171973,1.98455930942124,6.188986703379457,2,-1.4811789428236035,-0.05997194678808085
nano,kv_cache,p2,10,1024,20.0506921484375,19.7035945,24.78568075,26.14433422,2.770572227056719,8.869982609804746,2,-1.469700869551955,-0.05804310292506365
nano,kv_cache,p2,12,128,43.5931525703125,43.517849999999996,72.27341974999999,73.57388159999998,27.417935405683377,0.7488079915766486,2,-1.3122647187076024,-0.025820697462017272
nano,kv_cache,p2,12,256,44.77483201757813,44.44913700000001,75.83910589999999,77.20362118,27.625297665455793,5.071222326527826,2,-1.3022194030037815,-0.023083349974508983
nano,kv_cache,p2,12,512,18.990085396484375,19.2587635,21.6573401,22.387296879999997,2.0741145481726675,5.169248930019107,2,-1.4798945320581334,-0.06264087716965208
nano,kv_cache,p2,12,1024,21.781170498046876,21.769244,26.53990585,27.420183249999997,2.807966870056395,9.047367741191621,2,-1.4644596665034417,-0.061636307378625056
nano,kv_cache,p2_L1152,19,512,193.73828795703125,193.18057399999998,202.82307575,204.68715134,5.680606008592775,18.54228315400376,2,-0.9508734470923368,-0.3981059185938807
nano,kv_cache,p2_L1152,19,2048,40.43025831591797,38.8527605,55.2291489,56.941953319999996,9.228586688128159,31.513730259263102,2,-1.364373526058038,-0.05244930129562418
nano,kv_cache,p2_L768,7,512,171.51117138867187,172.8993805,182.2715637,183.75248798,7.390586630797841,24.653880609629105,2,-1.0015711766124928,-0.3413431019301749
nano,kv_cache,p2_L768,7,2048,34.91378074707031,35.593955,48.6688302,49.69049108,8.937818067560507,30.61053412978892,2,-1.381412384084688,-0.04521726170525958
nano,kv_cache,p3,14,128,42.492494265625,43.385307,70.37677599999999,71.26160945,26.249202892436646,2.395946639443361,2,-1.3176821520308901,-0.02712439632293084
nano,kv_cache,p3,14,256,44.504750027343746,43.632217000000004,73.48954535,75.28174423,26.49375293570992,5.3899541341268185,2,-1.3085331022025926,-0.02560986336832646
nano,kv_cache,p3,14,512,19.2755971875,19.044120999999997,22.28938195,22.98516719,1.8941026158232144,5.190982581064534,2,-1.4795935349542932,-0.06341992338900601
nano,kv_cache,p3,14,1024,21.05955815625,20.934092,25.98004205,27.89811682,2.7606551859114288,8.77119270372077,2,-1.4661820601342943,-0.06057991093156427
nano,kv_cache,p3,16,128,43.5798870625,43.873458,73.28538875000001,75.0243322,27.747648785084973,1.80826464054205,2,-1.3087679352225614,-0.024012855878064048
nano,kv_cache,p3,16,256,44.82382155859375,43.4111475,76.3026249,77.44645634,27.840983083279742,5.702489152849633,2,-1.301548099175279,-0.02060719918238434
nano,kv_cache,p3,16,512,19.151638484375,19.450581,21.1584432,22.089954679999995,1.4829938967720189,4.449840295716459,2,-1.4822724518485801,-0.06591666157457782
nano,kv_cache,p3,16,1024,20.880004232421875,19.8021295,26.539646949999998,27.575342489999997,3.4226765447678242,11.158773323808022,2,-1.463419531056285,-0.05424508475672209
nano,kv_cache,p3,18,128,43.5063917734375,43.621508,72.68961875,74.11785069999999,27.75071330391992,1.0318921461270922,2,-1.3105391215617757,-0.024368750861794068
nano,kv_cache,p3,18,256,45.279001296875,43.5909175,77.93872139999999,88.56436586000001,28.50974808621453,8.333637506065473,2,-1.2896320985712437,-0.016772748709359988
nano,kv_cache,p3,18,512,18.858967828125,19.101559,21.3218525,21.949250029999998,1.7348228699824109,5.178104596468354,2,-1.481522141768915,-0.06358253097090766
nano,kv_cache,p3,18,1024,21.353449856445312,20.338557,26.579291249999997,27.3760094,3.119155430347376,9.912348299291901,2,-1.4644913267991833,-0.05766850256517168
nano,kv_cache,p3_L1152,23,512,187.58550225195313,187.349728,197.8177654,200.6541439,6.692985514987066,21.898878412400858,2,-0.9608438807040731,-0.37855191987552356
nano,kv_cache,p3_L1152,23,2048,40.99718104394531,41.1179695,55.025578949999996,56.72736021,9.266203886757985,31.798031922080007,2,-1.361882601753285,-0.054857871092929944
nano,kv_cache,p3_L768,11,512,173.35477941601562,173.9809105,183.0850385,185.06056987,6.996684973755691,23.452863215550405,2,-0.9999113711076861,-0.34698920508424047
nano,kv_cache,p3_L768,11,2048,34.34929402880859,34.510641500000006,48.654148199999995,50.59940191,9.186545621761798,31.414296201612025,2,-1.3809607607536984,-0.04185761115138542
nano,no_cache,p1,1,128,208.50062246875,191.3329345,340.58025425,355.7023511999998,106.25781518418738,38.51384260465131,0,-0.47655297550750236,-0.02835619402580304
nano,no_cache,p1,1,256,261.2399250214844,215.7831615,542.1779412,569.92852536,160.4788139421769,197.21066756195944,0,0.1096547667894206,0.23967277041878696
nano,no_cache,p1,1,512,154.71220745507813,157.372119,220.61527435,228.93826061,40.01486939250992,137.55363520167995,2,-0.799501912106368,-0.07485369820081188
nano,no_cache,p1,1,1024,248.15658915234374,235.137946,431.51069644999995,452.34918882,106.7107437447641,366.60284161596445,0,-0.03243263763447776,0.22136008931261658
nano,no_cache,p1,3,128,207.0858920703125,195.4053995,336.5705385,367.57651285,106.15796898134603,42.88328298626641,0,-0.4665424450994304,-0.02764892346898593
nano,no_cache,p1,3,256,259.7291483007813,209.66495,545.6303091999999,566.1423426599999,158.93941327796904,193.4368297381554,0,0.09578263762732273,0.23756032286032963
nano,no_cache,p1,3,512,156.57538720507813,155.8791315,223.85803314999998,231.02332964,42.56037452263671,145.9013976241288,2,-0.7823913066237598,-0.05690700497169661
nano,no_cache,p1,3,1024,246.96972929785156,234.6026665,430.40676425,449.4964352,108.09725071319409,371.0956272846349,0,-0.028786510415742417,0.2332102173393364
nano,no_cache,p1,5,128,205.956412515625,193.888701,337.36318625,354.86643474999994,105.34710211648999,42.56487224537635,0,-0.47817731786693246,-0.027734954696759097
nano,no_cache,p1,5,256,258.9955390371094,221.85109599999998,520.6421940500001,573.2095087099998,156.7565126707285,189.5710096059054,0,0.08561061785709985,0.21485571920278662
nano,no_cache,p1,5,512,156.94355102734374,156.841975,222.90129664999998,229.02852498,41.52754665061567,142.64917804163383,2,-0.7884386477656031,-0.06535134633616066
nano,no_cache,p1,5,1024,248.0064229375,232.18348500000002,432.7198683499999,452.76462165000004,108.4246969333511,372.5602049054116,0,-0.024634748713533883,0.23722163374692423
nano,no_cache,p1_L1152,13,512,2435.6419694707033,2509.938142,2806.5098543999998,2878.2364630499997,277.5235862739202,886.0390016320032,3,7.448602171536262,-3.2545047413051895
nano,no_cache,p1_L1152,13,2048,1123.801774686035,1001.64888,2179.206233,2267.50468843,590.1669040912377,2010.7184571723071,1,6.098014781543187,1.9331697150980611
nano,no_cache,p1_L768,1,512,1647.68721559375,1647.5664785,2157.75701775,2214.73595596,322.094175135126,1082.2921008527248,5,5.561793714531861,-1.1856909838269363
nano,no_cache,p1_L768,1,2048,813.6227891679688,693.441681,1648.2878705,1718.55439061,452.15227742491885,1522.6835493925773,4,4.169526512782396,1.5762582063151453
nano,no_cache,p2,7,128,205.33108943359375,197.448707,333.4140105,338.2323678,104.42520249556664,45.10021810785578,0,-0.4882053845935196,-0.030354877268118412
nano,no_cache,p2,7,256,258.10581478125,215.06147199999998,538.77776655,565.2036234399999,155.3841678807486,183.6118647356376,0,0.07674589293556593,0.21016100264634138
nano,no_cache,p2,7,512,155.42716157617187,152.79549500000002,221.96409475000002,228.12012296,41.81043310256263,144.0199494255502,2,-0.7923724601162214,-0.057111808171369925
nano,no_cache,p2,7,1024,247.89349186035156,236.1983035,431.82076244999996,454.23137887999997,106.99077498137422,367.1915702327385,0,-0.029223903631325442,0.22199442671539157
nano,no_cache,p2,9,128,206.63024825390625,188.793832,334.59409500000004,338.89463094999996,104.85905977821771,37.151866853506775,0,-0.49857479136737215,-0.029145842889456063
nano,no_cache,p2,9,256,259.73974490820314,217.83077600000001,538.27446225,586.8351096999997,159.9386759418886,198.76779810890372,0,0.11739281996983648,0.23763864616229746
nano,no_cache,p2,9,512,155.5833255019531,151.88061299999998,222.76080209999998,229.94608273999998,41.21780822138772,140.97872405422228,2,-0.7955474976744707,-0.06190877585355688
nano,no_cache,p2,9,1024,250.4197604394531,240.36164150000002,431.08851939999994,452.22954615,107.30833200354233,368.3790391153821,0,-0.02334413994791021,0.2180691502215359
nano,no_cache,p2,11,128,206.59588969921876,196.65697450000002,336.35113325000003,354.71443229999994,104.54080043400832,36.77157460629939,0,-0.48282198212934535,-0.04023371404342837
nano,no_cache,p2,11,256,256.480651796875,230.38359450000002,536.9023684,553.2644599700001,154.92128528800575,192.05000433911678,0,0.08588367940933407,0.2033888502936752
nano,no_cache,p2,11,512,155.41497233398437,155.5360285,221.2918782,229.90266828,41.1913329567551,141.08528320941627,2,-0.7934575730389049,-0.06547582198075469
nano,no_cache,p2,11,1024,248.30515427734375,231.6449395,435.4197443,452.67807203,107.89452925170085,370.8757558178671,0,-0.026085250346413524,0.23350706580113298
nano,no_cache,p2_L1152,17,512,2174.180006345703,2108.7517095000003,2792.3873647,2854.6649502299997,380.10700648823695,1294.6777591229438,3,7.475258436024849,-1.7849443187902516
nano,no_cache,p2_L1152,17,2048,1118.4116050385742,995.9658919999999,2182.47622555,2285.22834121,590.1778422987913,2006.1593960740952,1,6.097325239597401,1.9376221106111082
