engine,mode,prompt_id,run_id,gen_tokens,token_ms_mean,token_ms_p50,token_ms_p95,token_ms_p99,token_ms_std,slope_ms_per_relpos
nano,kv_cache,p1,2,1024,28.380274,19.910633087158203,72.39345970153808,74.5024980163574,19.51047,-15.436974132322494
nano,kv_cache,p1,4,1024,28.709429,20.920841217041016,72.76150932312012,75.97590728759765,19.412745,-14.533821479834407
nano,kv_cache,p1,6,1024,27.525017,19.084768295288086,72.17658386230468,75.5085200500488,19.476019,-16.792387728776855
nano,kv_cache,p1_L1152,15,2048,40.828457,41.54574012756348,53.748762130737305,54.754956779479976,9.251869,31.677296862955064
nano,kv_cache,p1_L768,3,2048,35.00679,34.99032783508301,49.70831432342529,51.532677459716794,9.124387,31.086879286016355
nano,kv_cache,p2,8,1024,28.020412,20.338367462158203,70.94716796875,74.10236862182617,18.837008,-15.190144371524019
nano,kv_cache,p2,10,1024,27.74868,19.448981285095215,72.95040016174316,75.4454132080078,19.765892,-16.710974703816916
nano,kv_cache,p2,12,1024,28.694187,21.03917694091797,72.32312660217285,76.1972718811035,19.52883,-15.0622180211252
nano,kv_cache,p2_L1152,19,2048,40.43026,38.852760314941406,55.22915000915527,56.941953353881836,9.228587,31.513730271872443
nano,kv_cache,p2_L768,7,2048,34.91378,35.59395408630371,48.668830680847165,49.690490531921384,8.937819,30.610534125750615
nano,kv_cache,p3,14,1024,28.254602,20.52555561065674,71.40068244934082,73.70713668823241,18.931496,-15.451852203231102
nano,kv_cache,p3,16,1024,28.338982,19.64253520965576,73.35145301818848,76.48003181457518,19.815872,-15.10703315313029
nano,kv_cache,p3,18,1024,28.577349,19.9616641998291,74.13564491271973,78.09183197021484,20.039917,-15.127833383735501
nano,kv_cache,p3_L1152,23,2048,40.99718,41.11796951293945,55.025579833984374,56.72736083984375,9.266204,31.798031819692635
nano,kv_cache,p3_L768,11,2048,34.349293,34.51064109802246,48.65414638519287,50.5994021987915,9.186545,31.414296242331368
nano,no_cache,p1,1,1024,225.89236,189.40304565429688,443.0233245849609,542.716245727539,118.474335,237.9904678519592
nano,no_cache,p1,3,1024,225.28598,192.92794036865234,440.6640670776367,546.0648760986328,118.34134,240.80301523563327
nano,no_cache,p1,5,1024,225.54002,192.907958984375,447.8872344970703,522.5400482177732,117.67659,242.81173010573832
