gen_tokens,pos_bin,token_ms_mean_ratio_nano_over_tau,token_ms_p50_ratio_nano_over_tau,token_ms_p95_ratio_nano_over_tau,token_ms_p99_ratio_nano_over_tau
128,0-10%,0.804369830335092,0.7400504272815437,0.788622030230391,0.8643684205284409
128,10-25%,0.8063026347513846,0.6831495162598742,0.8291239045890781,0.8653052247205875
128,25-50%,0.8047448184775873,0.680524982419068,0.8298088795498559,0.8711749039887039
128,50-75%,0.7981988453712769,0.6596936393834214,0.8404648085042239,0.7920907345430573
128,75-90%,0.7996066630129227,0.6488334020279115,0.8418136513152296,0.8150637792098883
128,90-100%,0.801428875899859,0.6544050434922253,0.8249260199672336,0.8144462578984484
256,0-10%,0.8052930172294654,0.7096046863638517,0.8026080077327348,0.8474716099954928
256,10-25%,0.8050485801136833,0.6822692236716229,0.8349273466600556,0.8708130263291296
256,25-50%,0.7992714939090889,0.6792089991527621,0.8476928509178536,0.8136944125756492
256,50-75%,0.8084733998423392,0.6790063240202082,0.8871222607903577,0.8229701841711441
256,75-90%,0.8073096857019104,0.6560207804373809,0.8603835831898917,0.8051396533630972
256,90-100%,0.8136006529881289,0.6602939135154893,0.863929571850673,0.8974052364293245
512,0-10%,0.8042364097178258,0.6957632805258479,0.8196832270987925,0.8470406535311454
512,10-25%,0.8007681323382697,0.6860232134493258,0.8499310918985206,0.8208504025478638
512,25-50%,0.8091252579009577,0.6959176451326732,0.8843651333772437,0.8171357689701717
512,50-75%,0.8079376307038065,0.7344582693847975,0.8721536724027056,0.859529668471452
512,75-90%,0.8207480585987659,0.7526876081634161,0.8836889816420986,0.8746557129544151
512,90-100%,0.8230867287274738,0.7500558741687774,0.8962268203095584,0.8730583578377658
1024,0-10%,0.8023087388166001,0.701058617124876,0.8490927674813413,0.8283084063930309
1024,10-25%,0.8076572726615552,0.701544263166845,0.8795717334188533,0.8223442759335894
1024,25-50%,0.8155790461975548,0.7534712509033834,0.8856571903330046,0.8949138666913747
1024,50-75%,0.8659445969857237,0.8628199341063884,0.9099106238857867,0.9287969674242789
1024,75-90%,0.875660570209138,0.8846927651428087,0.8507771218356688,0.8801307264696857
1024,90-100%,0.8907292874314563,0.844309513508711,0.9179114638882427,0.9389765592699338
