run_id,engine,mode,prompt_id,prompt_len,gen_tokens,embd_mult,n_embd,n_head,prefill_ms,prime_ms,ttft_ms,decode_total_ms,tokens_per_sec,decode_tokens_per_sec,end_to_end_ms,p50_token_ms,p95_token_ms,rss_before_mb,rss_after_mb
1,nano,no_cache,p1_L768,768,2048,5,1920,5,0.0000,0.0000,4043.9511,16021357.9088,0.1278,0.1278,16025401.8599,7578.4961,13328.7996,86556.0000,1111964.0000
2,tau,no_cache,p1_L768,768,2048,5,1920,5,0.0000,0.0000,4174.0835,16095190.6234,0.1272,0.1272,16099364.7069,7564.4366,13256.8596,1111968.0000,2070040.0000
3,nano,kv_cache,p1_L768,768,2048,5,1920,5,537765.7063,0.0000,720.5661,1533312.1694,1.3350,1.3350,2071798.4418,772.0830,824.9595,2070040.0000,2304836.0000
4,tau,kv_cache,p1_L768,768,2048,5,1920,5,527301.9268,0.0000,718.8600,1486492.9864,1.3771,1.3771,2014513.7731,723.3639,755.2384,2233208.0000,2294004.0000
5,nano,no_cache,p2_L768,768,2048,5,1920,5,0.0000,0.0000,2770.5110,16019534.9199,0.1278,0.1278,16022305.4309,7510.4695,13342.4757,2222732.0000,2222736.0000
6,tau,no_cache,p2_L768,768,2048,5,1920,5,0.0000,0.0000,2901.8649,16086171.8176,0.1273,0.1273,16089073.6825,7626.9012,13238.4950,2222736.0000,2264844.0000
7,nano,kv_cache,p2_L768,768,2048,5,1920,5,529388.2240,0.0000,717.3215,1515377.2573,1.3508,1.3508,2045482.8027,762.2495,811.8243,2264844.0000,2342920.0000
8,tau,kv_cache,p2_L768,768,2048,5,1920,5,527855.0511,0.0000,690.9458,1482587.1777,1.3807,1.3807,2011133.1745,724.4581,746.8121,2233268.0000,2285740.0000
9,nano,no_cache,p3_L768,768,2048,5,1920,5,0.0000,0.0000,2791.6601,16035022.6655,0.1277,0.1277,16037814.3256,7532.4934,13336.0496,2216328.0000,2216328.0000
10,tau,no_cache,p3_L768,768,2048,5,1920,5,0.0000,0.0000,3021.5155,16073950.8055,0.1273,0.1273,16076972.3211,7668.7906,13215.4807,2215932.0000,2258028.0000
11,nano,kv_cache,p3_L768,768,2048,5,1920,5,527528.6640,0.0000,714.4585,1509803.9360,1.3558,1.3558,2038047.0586,761.0331,813.0984,2258028.0000,2330984.0000
12,tau,kv_cache,p3_L768,768,2048,5,1920,5,517385.1482,0.0000,675.5497,1455436.4957,1.4065,1.4065,1973497.1936,712.0594,732.5898,2225572.0000,2281036.0000
13,nano,no_cache,p1_L1152,1152,2048,5,1920,5,0.0000,0.0000,4339.3630,20765717.6381,0.0986,0.0986,20770057.0012,9858.8986,16564.7966,2281036.0000,2217832.0000
14,tau,no_cache,p1_L1152,1152,2048,5,1920,5,0.0000,0.0000,4448.2259,20646121.5458,0.0991,0.0991,20650569.7717,9943.9624,16139.2752,2217832.0000,2265692.0000
15,nano,kv_cache,p1_L1152,1152,2048,5,1920,5,820080.5295,0.0000,758.1701,1611370.6953,1.2703,1.2703,2432209.3948,786.2448,1060.1543,2265692.0000,2315340.0000
16,tau,kv_cache,p1_L1152,1152,2048,5,1920,5,783175.6603,0.0000,699.2805,1470898.6073,1.3917,1.3917,2254773.5481,718.1129,740.8784,2248404.0000,2302104.0000
