run_id,engine,mode,prompt_id,embd_mult,token_index,token_ms
1,nano,no_cache,p1_L768,5,0,4043.951084
1,nano,no_cache,p1_L768,5,1,2966.519286
1,nano,no_cache,p1_L768,5,2,2937.537442
1,nano,no_cache,p1_L768,5,3,2989.539069
1,nano,no_cache,p1_L768,5,4,2970.771644
1,nano,no_cache,p1_L768,5,5,2983.986951
1,nano,no_cache,p1_L768,5,6,2949.608217
1,nano,no_cache,p1_L768,5,7,2953.284748
1,nano,no_cache,p1_L768,5,8,2974.742200
1,nano,no_cache,p1_L768,5,9,2939.461346
1,nano,no_cache,p1_L768,5,10,2960.541793
1,nano,no_cache,p1_L768,5,11,2951.539373
1,nano,no_cache,p1_L768,5,12,2964.826166
1,nano,no_cache,p1_L768,5,13,3039.508349
1,nano,no_cache,p1_L768,5,14,2963.522230
1,nano,no_cache,p1_L768,5,15,2933.033701
1,nano,no_cache,p1_L768,5,16,2990.482886
1,nano,no_cache,p1_L768,5,17,2939.280623
1,nano,no_cache,p1_L768,5,18,2951.381373
1,nano,no_cache,p1_L768,5,19,2950.097179
1,nano,no_cache,p1_L768,5,20,2935.532300
1,nano,no_cache,p1_L768,5,21,3098.106214
1,nano,no_cache,p1_L768,5,22,2966.664995
1,nano,no_cache,p1_L768,5,23,2967.354114
1,nano,no_cache,p1_L768,5,24,3125.168452
1,nano,no_cache,p1_L768,5,25,2980.985579
1,nano,no_cache,p1_L768,5,26,3088.415682
1,nano,no_cache,p1_L768,5,27,3021.039210
1,nano,no_cache,p1_L768,5,28,2986.787486
1,nano,no_cache,p1_L768,5,29,3016.288308
1,nano,no_cache,p1_L768,5,30,3016.532161
1,nano,no_cache,p1_L768,5,31,3034.343024
1,nano,no_cache,p1_L768,5,32,3020.303349
1,nano,no_cache,p1_L768,5,33,3084.942832
1,nano,no_cache,p1_L768,5,34,3108.169312
1,nano,no_cache,p1_L768,5,35,3057.935182
1,nano,no_cache,p1_L768,5,36,3010.165455
1,nano,no_cache,p1_L768,5,37,3047.516592
1,nano,no_cache,p1_L768,5,38,3006.214519
1,nano,no_cache,p1_L768,5,39,2996.074232
1,nano,no_cache,p1_L768,5,40,3086.752996
1,nano,no_cache,p1_L768,5,41,2994.601439
1,nano,no_cache,p1_L768,5,42,3000.797654
1,nano,no_cache,p1_L768,5,43,2993.119169
1,nano,no_cache,p1_L768,5,44,3025.591778
1,nano,no_cache,p1_L768,5,45,3034.653622
1,nano,no_cache,p1_L768,5,46,3074.939728
1,nano,no_cache,p1_L768,5,47,3025.040630
1,nano,no_cache,p1_L768,5,48,3143.486553
1,nano,no_cache,p1_L768,5,49,3031.009787
1,nano,no_cache,p1_L768,5,50,3072.949463
1,nano,no_cache,p1_L768,5,51,3021.308780
1,nano,no_cache,p1_L768,5,52,3176.316558
1,nano,no_cache,p1_L768,5,53,3056.262779
1,nano,no_cache,p1_L768,5,54,3118.955278
1,nano,no_cache,p1_L768,5,55,3083.689877
1,nano,no_cache,p1_L768,5,56,3231.702883
1,nano,no_cache,p1_L768,5,57,3183.701019
1,nano,no_cache,p1_L768,5,58,3099.329759
1,nano,no_cache,p1_L768,5,59,3104.711875
1,nano,no_cache,p1_L768,5,60,3085.886924
1,nano,no_cache,p1_L768,5,61,3246.635485
1,nano,no_cache,p1_L768,5,62,3062.064301
1,nano,no_cache,p1_L768,5,63,3109.663493
1,nano,no_cache,p1_L768,5,64,3169.226269
1,nano,no_cache,p1_L768,5,65,3140.668063
1,nano,no_cache,p1_L768,5,66,3115.240209
1,nano,no_cache,p1_L768,5,67,3070.987443
1,nano,no_cache,p1_L768,5,68,3129.689642
1,nano,no_cache,p1_L768,5,69,3094.433470
1,nano,no_cache,p1_L768,5,70,3133.557971
1,nano,no_cache,p1_L768,5,71,3132.087431
1,nano,no_cache,p1_L768,5,72,3094.283370
1,nano,no_cache,p1_L768,5,73,3156.983332
1,nano,no_cache,p1_L768,5,74,3142.800359
1,nano,no_cache,p1_L768,5,75,3109.062814
1,nano,no_cache,p1_L768,5,76,3179.169295
1,nano,no_cache,p1_L768,5,77,3158.192175
1,nano,no_cache,p1_L768,5,78,3137.276604
