device,variant,mode,relpos_bin,token_ms_mean_speedup_tau_over_nano,token_ms_p50_speedup_tau_over_nano,token_ms_p95_speedup_tau_over_nano
unknown,1767066084,kv_cache,0-10%,1.1726397221826348,1.1711788037979654,1.178877109430012
unknown,1767066084,kv_cache,10-25%,1.1263056241836098,1.1190527514068016,1.1257855527473837
unknown,1767066084,kv_cache,25-50%,1.1488974456491212,1.1212521365614558,1.18324524236027
unknown,1767066084,kv_cache,50-75%,1.1801206377934004,1.1850641425544002,1.2073871510592513
unknown,1767066084,kv_cache,75-90%,1.2102520732965631,1.2120257149477534,1.2439044554897005
unknown,1767066084,kv_cache,90-100%,1.2101605827467485,1.2151000548886606,1.228129837896205
unknown,1767066084,no_cache,0-10%,0.718508662738905,0.7260588565219317,0.7371531755397857
unknown,1767066084,no_cache,10-25%,0.7224998983772453,0.7238245191350249,0.7349171580662663
unknown,1767066084,no_cache,25-50%,0.7146275818495756,0.7228999777766506,0.6725186524278535
unknown,1767066084,no_cache,50-75%,0.7013007969540853,0.7210023423990025,0.646673926552936
unknown,1767066084,no_cache,75-90%,0.7061843230618352,0.7208239824708399,0.6534607784312167
unknown,1767066084,no_cache,90-100%,0.714978834319002,0.7287727791198553,0.6546109477954009
unknown,1767089337,kv_cache,0-10%,1.1935670012233164,1.1983250318794891,1.2026529679673756
unknown,1767089337,kv_cache,10-25%,1.14801069349811,1.1647803913176031,1.1249105093970315
unknown,1767089337,kv_cache,25-50%,1.2129571260124585,1.2099246931987322,1.2194478618198825
unknown,1767089337,kv_cache,50-75%,1.2594679760194734,1.2826855898070602,1.2379226203296592
unknown,1767089337,kv_cache,75-90%,1.2932073168916336,1.3041883685854905,1.2706503148320212
unknown,1767089337,kv_cache,90-100%,1.2890496436995,1.3200042485928112,1.2592770963356654
unknown,1767089337,no_cache,0-10%,0.7091322071305534,0.713266304714132,0.7105144650550731
unknown,1767089337,no_cache,10-25%,0.7043957599915825,0.7117348622534917,0.7095692594253534
unknown,1767089337,no_cache,25-50%,0.6932078780211739,0.6978764432585421,0.6616454957379009
unknown,1767089337,no_cache,50-75%,0.7065639419023163,0.7145796165558715,0.6643785426572432
unknown,1767089337,no_cache,75-90%,0.6857980058426867,0.7086900259166686,0.6437998109275437
unknown,1767089337,no_cache,90-100%,0.6957728602419283,0.7203065907564883,0.6455059707564232
unknown,1767090496,kv_cache,0-10%,1.170462117893768,1.1734117680790905,1.1695823038378466
unknown,1767090496,kv_cache,10-25%,1.2315194051175982,1.244551926689826,1.199869740696633
unknown,1767090496,kv_cache,25-50%,1.2651586046369006,1.2601486046217756,1.2586830860399303
unknown,1767090496,kv_cache,50-75%,1.3076615841942794,1.3122967119734843,1.3263202578500883
unknown,1767090496,kv_cache,75-90%,1.3063751298042074,1.3068647227225367,1.2712719755228428
unknown,1767090496,kv_cache,90-100%,1.3172312111656106,1.3144966984904378,1.2957857060063036
unknown,1767090496,no_cache,0-10%,0.717142104628388,0.7260974616948457,0.6874893373891182
unknown,1767090496,no_cache,10-25%,0.7143049383849921,0.718079325377477,0.6722130571527649
unknown,1767090496,no_cache,25-50%,0.716252519127172,0.7189913753719483,0.6758996700575676
unknown,1767090496,no_cache,50-75%,0.7368822998170256,0.7370979103169907,0.687453085528575
unknown,1767090496,no_cache,75-90%,0.7431536244322908,0.7574380010112691,0.6836961275761587
unknown,1767090496,no_cache,90-100%,0.74481548284737,0.7610797538492143,0.6777372890773192
unknown,1767094626,kv_cache,0-10%,1.1554889621985218,1.168627671687151,1.1362373869803184
unknown,1767094626,kv_cache,10-25%,1.244177229673081,1.263824934534118,1.2381051603419082
unknown,1767094626,kv_cache,25-50%,1.2917141684417452,1.2838329343245665,1.2708707580099479
unknown,1767094626,kv_cache,50-75%,1.3329893154413754,1.3483710482104638,1.278148703814295
unknown,1767094626,kv_cache,75-90%,1.4769149994530288,1.4914955155752507,1.3845246036451058
unknown,1767094626,kv_cache,90-100%,1.4700561830930627,1.4846704064305014,1.411305817481707
unknown,1767094626,no_cache,0-10%,0.7226738606583106,0.722369703609826,0.6902365899924574
unknown,1767094626,no_cache,10-25%,0.7119118680974738,0.7146351772836832,0.6759310241308089
unknown,1767094626,no_cache,25-50%,0.7430752228238726,0.7476461767706014,0.7180325918409743
unknown,1767094626,no_cache,50-75%,0.7846449589750134,0.7852069995883955,0.7950217269061053
unknown,1767094626,no_cache,75-90%,0.8231117941480842,0.8196977738471535,0.8338954765377045
unknown,1767094626,no_cache,90-100%,0.836125802009159,0.8368081656775037,0.8350152599718398
unknown,1767102282,kv_cache,0-10%,1.0390428315765077,1.0421005725748846,1.0361699691247035
