device,variant,mode,prompt_len,gen_tokens,tokens_per_sec_speedup_tau_over_nano,p50_token_ms_speedup_tau_over_nano,p95_token_ms_speedup_tau_over_nano,decode_total_ms_speedup_tau_over_nano,total_ms_no_ttft_speedup_tau_over_nano,rss_delta_mb_ratio_tau_over_nano,rss_delta_mb_saving_frac_tau_vs_nano,rss_after_mb_ratio_tau_over_nano,rss_after_mb_saving_frac_tau_vs_nano
unknown,1767066084,kv_cache,384,128,1.1682521786892064,1.17569711994862,1.1683329622525174,1.1695673597969032,1.086536823950923,0.026687211093990755,0.9733127889060093,0.888961736691617,0.11103826330838296
unknown,1767066084,no_cache,384,128,0.7113263698430297,0.7164858551182758,0.6902433852869272,0.7111772472245963,0.7111772472245963,0.00019774569903104606,0.9998022543009689,0.9577349845383886,0.04226501546161143
unknown,1767089337,kv_cache,384,256,1.2339507461169266,1.2341732182644345,1.2638164345109295,1.2333310791424026,1.142894757506856,0.00010941717120140054,0.9998905828287986,0.8634287656244819,0.1365712343755181
unknown,1767089337,no_cache,384,256,0.6985316815247301,0.7079498736619507,0.6750617172848935,0.6984670537888801,0.6984670537888801,0.0004237886707162028,0.9995762113292838,0.974105401955421,0.025894598044579054
unknown,1767090496,kv_cache,384,512,1.2754043214250719,1.282847451459659,1.3106022329177898,1.2748289648244737,1.2018242124140075,0.235138861532401,0.764861138467599,0.8427551773309936,0.1572448226690064
unknown,1767090496,no_cache,384,512,0.7309616280338198,0.7302976143166102,0.7299900978215754,0.730913705309329,0.730913705309329,1.358118827081521,-0.358118827081521,0.9080835965484244,0.09191640345157559
unknown,1767094626,kv_cache,384,1024,1.3329781584900926,1.3103411818716575,1.423597372794176,1.3322454094465221,1.2778831949925655,0.0,1.0,0.8689248472231978,0.13107515277680215
unknown,1767094626,no_cache,384,1024,0.7836457310547974,0.7615133565811328,0.8352103428891766,0.7836586301302955,0.7836586301302955,3.254307890069479e-05,0.9999674569210993,0.9164702237428777,0.08352977625712232
unknown,1767102282,kv_cache,384,128,1.0552871009238687,1.055749226853064,1.0594713434431033,1.0553865467577164,1.0223056147677703,0.33874709976798145,0.6612529002320185,0.9876261421735955,0.012373857826404544
unknown,1767102282,no_cache,384,128,0.8452325067653395,0.8448733624289326,0.8300701929879529,0.8451900423111599,0.8451900423111599,0.004291845493562232,0.9957081545064378,0.9881549773523614,0.011845022647638648
unknown,1767104587,kv_cache,384,256,1.0890136026170183,1.0872485547343678,1.1208494924947137,1.088735574576724,1.0478504671611655,0.9622796534209739,0.03772034657902612,0.9736276961844407,0.026372303815559328
unknown,1767104587,no_cache,384,256,0.8645938035503169,0.8581123958075875,0.845178127317452,0.8646195835928927,0.8646195835928927,0.9993019467928334,0.000698053207166649,0.9739301705129665,0.026069829487033513
unknown,1767204018,kv_cache,768,2048,1.6828825718030038,1.730219378788776,1.892596639856049,1.682845861093763,1.5808408867803245,0.8657890398700044,0.13421096012999556,0.8921463414634146,0.10785365853658535
unknown,1767204018,kv_cache,1152,2048,1.7978963328478579,1.7930766904426463,1.944009993813128,1.7976289098394118,1.6403850861083402,0.8993555005463749,0.10064449945362508,0.8910300255161596,0.10896997448384038
unknown,1767204018,no_cache,768,2048,0.8974461186850567,0.8759087447384841,0.9359698946582924,0.8976495964205089,0.8976495964205089,0.8609112709832134,0.1390887290167866,1.0737323133960628,-0.07373231339606279
unknown,1767204018,no_cache,1152,2048,0.9127348798983899,0.8964634938609078,0.9464470031713439,0.9126995038843101,0.9126995038843101,-0.0001547987616099071,1.00015479876161,1.0000100343677094,-1.0034367709410574e-05
unknown,1767240798,kv_cache,768,512,1.1324470930667325,1.1422815907551438,1.1481154468361516,1.132453958181098,1.067308360393497,0.10054707491396805,0.8994529250860319,1.0034310972736402,-0.0034310972736402157
unknown,1767240798,kv_cache,1152,512,1.2017038751681874,1.1994300384786798,1.2157795326313336,1.201927533772049,1.1088177771659424,0.7613531047265986,0.23864689527340144,1.0022885779912298,-0.0022885779912298343
unknown,1767240798,no_cache,768,512,0.9656952192273606,0.9828776288253923,0.9946802491744277,0.9669733446518579,0.9669733446518579,0.8579868006659847,0.14201319933401535,1.1538547315221985,-0.15385473152219853
unknown,1767240798,no_cache,1152,512,0.9958631064309892,1.0041223468110572,0.9779797142776757,0.9987074604141939,0.9987074604141939,7.675775253300582e-05,0.999923242247467,1.0000027925589474,-2.7925589474175894e-06
unknown,1767278026,kv_cache,768,512,1.0399292224485026,1.0389032233341728,1.0462140138072873,1.0399023509199086,1.024474618895432,0.16350295685186536,0.8364970431481347,1.002808634796603,-0.0028086347966029823
unknown,1767278026,kv_cache,1152,512,1.080714866788692,1.0806845273196262,1.0844195991717542,1.0806358035150487,1.0488060706114264,0.04391366346901737,0.9560863365309826,1.0008394771079858,-0.0008394771079858199
unknown,1767278026,no_cache,768,512,0.9723280020309725,0.9505212080103822,0.9849266341925447,0.9722756594638211,0.9722756594638211,0.9569314023234374,0.04306859767656257,1.1805778757103331,-0.18057787571033312
unknown,1767278026,no_cache,1152,512,0.9886654478976232,0.9799047001448824,0.9993422214125958,0.9889152032909896,0.9889152032909896,-2.467087050138419,3.467087050138419,0.9705020210057094,0.02949797899429063
unknown,1767325731,kv_cache,768,2048,1.0303592636579573,1.062727610877153,1.0963206024701158,1.0302805285190306,1.0260322896062075,0.43732440362026603,0.562675596379734,0.9830972353175501,0.01690276468244989
unknown,1767325731,kv_cache,1152,2048,1.0955679760686452,1.0948763070542251,1.4309423786683482,1.0955008640995672,1.0786917093858048,1.0816145665485015,-0.08161456654850152,0.9942833449946876,0.005716655005312377
unknown,1767325731,no_cache,768,2048,0.9960866162274981,0.9895595774518923,1.0074662141392932,0.9962823212568616,0.9962823212568616,1.0164460724079687,-0.016446072407968693,1.1876920815387708,-0.18769208153877082
unknown,1767325731,no_cache,1152,2048,1.0050709939148073,0.9914456836642906,1.0263655830095766,1.0057926662901162,1.0057926662901162,-0.7572305550281627,1.7572305550281628,1.0215796327224065,-0.021579632722406483
