device,variant,engine,mode,relpos_bin,token_ms__mean,token_ms__std,token_ms__min,token_ms__p50,token_ms__p95,token_ms__max,token_ms__count
unknown,1767066084,nano,kv_cache,0-10%,16.40786334188034,0.9969598070254693,14.534897,16.465481,18.0828396,19.179007,117
unknown,1767066084,nano,kv_cache,10-25%,16.23107942777778,0.8973458729061508,14.708105,16.3139645,17.827544749999998,18.812211,180
unknown,1767066084,nano,kv_cache,25-50%,16.566639788194447,1.0919559282171802,14.795612,16.472262999999998,18.427586299999998,19.032361,288
unknown,1767066084,nano,kv_cache,50-75%,16.836359725694443,1.2571630817382269,13.9441,16.820026,18.931306099999997,20.158497,288
unknown,1767066084,nano,kv_cache,75-90%,17.112351766081872,1.274123280474248,15.105911,16.795793,19.3638165,20.433681,171
unknown,1767066084,nano,kv_cache,90-100%,17.283719203703704,1.361288111768618,14.867054,17.070259,19.44577985,21.255743,108
unknown,1767066084,nano,no_cache,0-10%,93.83352835042734,4.406942180065295,87.301438,92.477633,105.66238179999999,109.728953,117
unknown,1767066084,nano,no_cache,10-25%,96.27146162222222,5.0281695491433585,88.977462,95.381081,108.17441504999996,116.157914,180
unknown,1767066084,nano,no_cache,25-50%,99.87658515277778,4.0926063839549895,92.97192,99.156064,105.55448224999999,120.322761,288
unknown,1767066084,nano,no_cache,50-75%,105.17783996874999,3.047532747110844,98.595498,104.8196385,109.98554815,130.043167,288
unknown,1767066084,nano,no_cache,75-90%,110.09795538596491,2.8390685974369245,103.947583,110.035002,113.81569400000001,130.682848,171
unknown,1767066084,nano,no_cache,90-100%,114.35712278703704,2.3905518073204117,109.117126,114.560137,118.1210141,120.373332,108
unknown,1767066084,tau,kv_cache,0-10%,13.992245897435897,0.97733015912912,11.950855,14.058896,15.339037,16.045552,117
unknown,1767066084,tau,kv_cache,10-25%,14.410901516666668,0.9637816098437617,12.31664,14.5783695,15.835648899999999,17.191683,180
unknown,1767066084,tau,kv_cache,25-50%,14.419598416666666,0.9768962116013665,11.970168,14.690953499999999,15.5737675,16.293655,288
unknown,1767066084,tau,kv_cache,50-75%,14.26664290625,0.8907768529669103,12.584135,14.1933465,15.679565649999999,17.336099,288
unknown,1767066084,tau,kv_cache,75-90%,14.139493865497077,0.8095266558192913,12.685072,13.857621,15.5669645,16.108072,171
unknown,1767066084,tau,kv_cache,90-100%,14.282170027777779,0.8604727202925768,12.804999,14.048439,15.833651499999998,16.321602,108
unknown,1767066084,tau,no_cache,0-10%,130.59484626495728,7.247729784877712,118.267963,127.369334,143.338434,151.84642,117
